country,τ (threshold),n_blocks,rf_deprived_n,rf_non_deprived_n,WRI(p)_deprived_n,WRI(m)_deprived_n
egypt,0.1,27475,10762,16713,13923,15424
egypt,0.2,27475,10762,16713,12601,10939
egypt,0.3,27475,10762,16713,11572,7210
