country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
south_africa,SSI (any-pixel),0.1,0.56,0.92,0.7,0.54,26729
south_africa,SSI (any-pixel),0.2,0.6,0.9,0.72,0.59,26729
south_africa,SSI (any-pixel),0.3,0.64,0.89,0.74,0.64,26729
south_africa,SSI (mean-SSI),0.1,0.56,0.92,0.7,0.54,26729
south_africa,SSI (mean-SSI),0.2,0.59,0.91,0.71,0.58,26729
south_africa,SSI (mean-SSI),0.3,0.62,0.89,0.73,0.62,26729
south_africa,SSI (SpaceDef only),0.1,0.73,0.87,0.79,0.75,26729
south_africa,SSI (SpaceDef only),0.2,0.76,0.86,0.81,0.77,26729
south_africa,SSI (SpaceDef only),0.3,0.79,0.85,0.82,0.79,26729
