country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
cote_d_ivoire,SSI (any-pixel),0.1,0.23,0.68,0.34,0.45,7954
cote_d_ivoire,SSI (any-pixel),0.2,0.23,0.67,0.35,0.47,7954
cote_d_ivoire,SSI (any-pixel),0.3,0.25,0.66,0.36,0.5,7954
cote_d_ivoire,SSI (mean-SSI),0.1,0.23,0.68,0.34,0.45,7954
cote_d_ivoire,SSI (mean-SSI),0.2,0.23,0.67,0.35,0.46,7954
cote_d_ivoire,SSI (mean-SSI),0.3,0.25,0.66,0.36,0.49,7954
cote_d_ivoire,SSI (SpaceDef only),0.1,0.36,0.64,0.46,0.62,7954
cote_d_ivoire,SSI (SpaceDef only),0.2,0.38,0.63,0.47,0.64,7954
cote_d_ivoire,SSI (SpaceDef only),0.3,0.4,0.61,0.48,0.65,7954
