TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
1503,2510,373,205,0.37453276850236733,0.879976580796253,0.5254326166754064,0.5046778498847724,benin,SSI (any-pixel),0.1,4591
1471,2269,614,237,0.39331550802139037,0.8612412177985949,0.540014684287812,0.5371069078934008,benin,SSI (any-pixel),0.2,4591
1412,1978,905,296,0.41651917404129796,0.8266978922716628,0.553942722636328,0.5703035073567818,benin,SSI (any-pixel),0.3,4591
1504,2512,371,204,0.3745019920318725,0.8805620608899297,0.5255066387141859,0.5046237290228351,benin,SSI (mean-SSI),0.1,4591
1473,2293,590,235,0.3911311736590547,0.8624121779859485,0.5381804895871392,0.5335300570817706,benin,SSI (mean-SSI),0.2,4591
1417,2038,845,291,0.4101302460202605,0.8296252927400468,0.5489056749951579,0.5613613803277064,benin,SSI (mean-SSI),0.3,4591
1355,915,1968,353,0.5969162995594713,0.7933255269320844,0.681246857717446,0.7379738977012138,benin,SSI (SpaceDef only),0.1,4591
1333,802,2081,375,0.6243559718969555,0.7804449648711944,0.6937288576632838,0.7511312580165892,benin,SSI (SpaceDef only),0.2,4591
1293,704,2179,415,0.6474712068102153,0.7570257611241218,0.6979757085020243,0.7564178406730564,benin,SSI (SpaceDef only),0.3,4591
