TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
2945,1566,62,26,0.6528485923298604,0.991248737798721,0.7872226677358997,0.5146661379411296,niger,SSI (any-pixel),0.1,4599
2945,1548,80,26,0.655464055196973,0.991248737798721,0.7891211146838157,0.5201943934693851,niger,SSI (any-pixel),0.2,4599
2944,1509,119,27,0.6611273298899618,0.9909121507909795,0.7931034482758621,0.5320039869434013,niger,SSI (any-pixel),0.3,4599
2945,1566,62,26,0.6528485923298604,0.991248737798721,0.7872226677358997,0.5146661379411296,niger,SSI (mean-SSI),0.1,4599
2945,1551,77,26,0.6550266903914591,0.991248737798721,0.7888040712468194,0.5192730175480091,niger,SSI (mean-SSI),0.2,4599
2945,1525,103,26,0.6588366890380313,0.991248737798721,0.7915602741566993,0.5272582755332671,niger,SSI (mean-SSI),0.3,4599
2829,1050,578,142,0.7293116782675947,0.9522046449007069,0.825985401459854,0.653620749968781,niger,SSI (SpaceDef only),0.1,4599
2822,948,680,149,0.7485411140583554,0.9498485358465163,0.8372645008159026,0.683769476768467,niger,SSI (SpaceDef only),0.2,4599
2803,846,782,168,0.7681556590846808,0.9434533826994278,0.8468277945619335,0.7118986815217041,niger,SSI (SpaceDef only),0.3,4599
