TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
791,384,53,41,0.6731914893617021,0.9507211538461539,0.7882411559541603,0.5360013091885232,burundi,SSI (any-pixel),0.1,1269
787,363,74,45,0.6843478260869565,0.9459134615384616,0.7941473259334006,0.5576249229889104,burundi,SSI (any-pixel),0.2,1269
775,328,109,57,0.7026291931097008,0.9314903846153846,0.8010335917312662,0.5904591511177609,burundi,SSI (any-pixel),0.3,1269
791,384,53,41,0.6731914893617021,0.9507211538461539,0.7882411559541603,0.5360013091885232,burundi,SSI (mean-SSI),0.1,1269
787,365,72,45,0.6831597222222222,0.9459134615384616,0.7933467741935484,0.5553365934694596,burundi,SSI (mean-SSI),0.2,1269
778,338,99,54,0.6971326164874552,0.9350961538461539,0.7987679671457906,0.5808203881358915,burundi,SSI (mean-SSI),0.3,1269
731,140,297,101,0.8392652123995408,0.8786057692307693,0.8584850264239579,0.7791198182538286,burundi,SSI (SpaceDef only),0.1,1269
724,116,321,108,0.861904761904762,0.8701923076923077,0.8660287081339713,0.8023730417180074,burundi,SSI (SpaceDef only),0.2,1269
715,88,349,117,0.8904109589041096,0.859375,0.8746177370030581,0.8290010011441648,burundi,SSI (SpaceDef only),0.3,1269
