country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
angola,SSI (any-pixel),0.1,0.69,0.92,0.79,0.54,891
angola,SSI (any-pixel),0.2,0.69,0.91,0.79,0.55,891
angola,SSI (any-pixel),0.3,0.71,0.89,0.79,0.57,891
angola,SSI (mean-SSI),0.1,0.69,0.92,0.79,0.54,891
angola,SSI (mean-SSI),0.2,0.69,0.91,0.79,0.55,891
angola,SSI (mean-SSI),0.3,0.71,0.9,0.79,0.57,891
angola,SSI (SpaceDef only),0.1,0.81,0.84,0.83,0.72,891
angola,SSI (SpaceDef only),0.2,0.84,0.83,0.84,0.76,891
angola,SSI (SpaceDef only),0.3,0.85,0.81,0.83,0.77,891
