TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
388,391,29,4,0.4980744544287548,0.9897959183673469,0.6626814688300597,0.529421768707483,malawi,SSI (any-pixel),0.1,812
388,372,48,4,0.5105263157894737,0.9897959183673469,0.6736111111111112,0.5520408163265306,malawi,SSI (any-pixel),0.2,812
386,340,80,6,0.5316804407713499,0.9846938775510204,0.6905187835420394,0.5875850340136055,malawi,SSI (any-pixel),0.3,812
388,391,29,4,0.4980744544287548,0.9897959183673469,0.6626814688300597,0.529421768707483,malawi,SSI (mean-SSI),0.1,812
388,375,45,4,0.508519003931848,0.9897959183673469,0.6718614718614718,0.548469387755102,malawi,SSI (mean-SSI),0.2,812
387,349,71,5,0.5258152173913043,0.9872448979591837,0.6861702127659575,0.5781462585034014,malawi,SSI (mean-SSI),0.3,812
373,158,262,19,0.7024482109227872,0.951530612244898,0.8082340195016252,0.7876700680272108,malawi,SSI (SpaceDef only),0.1,812
370,125,295,22,0.7474747474747475,0.9438775510204082,0.8342728297632469,0.8231292517006803,malawi,SSI (SpaceDef only),0.2,812
363,100,320,29,0.7840172786177105,0.9260204081632653,0.8491228070175438,0.8439625850340136,malawi,SSI (SpaceDef only),0.3,812
