TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
4407,3487,540,621,0.5582721053965036,0.8764916467780429,0.682092555331992,0.5052932532375439,tanzania,SSI (any-pixel),0.1,9055
4309,3292,735,719,0.5668990922247072,0.8570007955449482,0.6823976561881383,0.5197593995107408,tanzania,SSI (any-pixel),0.2,9055
4144,2966,1061,884,0.5828410689170183,0.8241845664280032,0.6828143021914648,0.5438280666756355,tanzania,SSI (any-pixel),0.3,9055
4407,3495,532,621,0.5577069096431283,0.8764916467780429,0.6816705336426914,0.5042999579805287,tanzania,SSI (mean-SSI),0.1,9055
4318,3309,718,710,0.5661465845024256,0.8587907716785999,0.6824180165942315,0.5185436351564094,tanzania,SSI (mean-SSI),0.2,9055
4164,3040,987,864,0.578012215435869,0.8281622911694511,0.6808371484630478,0.5366289479189694,tanzania,SSI (mean-SSI),0.3,9055
3699,1026,3001,1329,0.7828571428571428,0.7356801909307876,0.758535835127653,0.7404499787532011,tanzania,SSI (SpaceDef only),0.1,9055
3590,774,3253,1438,0.8226397800183318,0.7140015910898966,0.764480408858603,0.7608994794287327,tanzania,SSI (SpaceDef only),0.2,9055
3443,596,3431,1585,0.8524387224560535,0.6847653142402546,0.7594573728907026,0.7683821604724987,tanzania,SSI (SpaceDef only),0.3,9055
