country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
niger,SSI (any-pixel),0.1,0.65,0.99,0.79,0.51,4599
niger,SSI (any-pixel),0.2,0.66,0.99,0.79,0.52,4599
niger,SSI (any-pixel),0.3,0.66,0.99,0.79,0.53,4599
niger,SSI (mean-SSI),0.1,0.65,0.99,0.79,0.51,4599
niger,SSI (mean-SSI),0.2,0.66,0.99,0.79,0.52,4599
niger,SSI (mean-SSI),0.3,0.66,0.99,0.79,0.53,4599
niger,SSI (SpaceDef only),0.1,0.73,0.95,0.83,0.65,4599
niger,SSI (SpaceDef only),0.2,0.75,0.95,0.84,0.68,4599
niger,SSI (SpaceDef only),0.3,0.77,0.94,0.85,0.71,4599
