country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
ethiopia,SSI (any-pixel),0.1,0.54,0.99,0.7,0.51,5820
ethiopia,SSI (any-pixel),0.2,0.55,0.98,0.7,0.52,5820
ethiopia,SSI (any-pixel),0.3,0.55,0.98,0.71,0.53,5820
ethiopia,SSI (mean-SSI),0.1,0.54,0.99,0.7,0.51,5820
ethiopia,SSI (mean-SSI),0.2,0.55,0.98,0.7,0.52,5820
ethiopia,SSI (mean-SSI),0.3,0.55,0.98,0.7,0.52,5820
ethiopia,SSI (SpaceDef only),0.1,0.58,0.97,0.72,0.57,5820
ethiopia,SSI (SpaceDef only),0.2,0.59,0.96,0.74,0.6,5820
ethiopia,SSI (SpaceDef only),0.3,0.61,0.96,0.74,0.62,5820
