country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
burkina_faso,SSI (any-pixel),0.1,0.65,1.0,0.79,0.51,5322
burkina_faso,SSI (any-pixel),0.2,0.66,1.0,0.79,0.51,5322
burkina_faso,SSI (any-pixel),0.3,0.66,0.99,0.79,0.52,5322
burkina_faso,SSI (mean-SSI),0.1,0.65,1.0,0.79,0.51,5322
burkina_faso,SSI (mean-SSI),0.2,0.66,1.0,0.79,0.51,5322
burkina_faso,SSI (mean-SSI),0.3,0.66,0.99,0.79,0.52,5322
burkina_faso,SSI (SpaceDef only),0.1,0.71,0.97,0.82,0.61,5322
burkina_faso,SSI (SpaceDef only),0.2,0.72,0.96,0.83,0.64,5322
burkina_faso,SSI (SpaceDef only),0.3,0.74,0.95,0.83,0.66,5322
