TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
328,856,80,6,0.27702702702702703,0.9820359281437125,0.4321475625823452,0.533753006806899,rwanda,SSI (any-pixel),0.1,1270
321,816,120,13,0.28232189973614774,0.9610778443113772,0.4364377974167232,0.5446414862582527,rwanda,SSI (any-pixel),0.2,1270
315,744,192,19,0.29745042492917845,0.9431137724550899,0.4522613065326633,0.5741209887916475,rwanda,SSI (any-pixel),0.3,1270
328,856,80,6,0.27702702702702703,0.9820359281437125,0.4321475625823452,0.533753006806899,rwanda,SSI (mean-SSI),0.1,1270
322,819,117,12,0.2822085889570552,0.9640718562874252,0.4366101694915254,0.5445359281437125,rwanda,SSI (mean-SSI),0.2,1270
315,761,175,19,0.29275092936802977,0.9431137724550899,0.4468085106382979,0.5650397922104509,rwanda,SSI (mean-SSI),0.3,1270
285,367,569,49,0.4371165644171779,0.8532934131736527,0.5780933062880323,0.7305996980398177,rwanda,SSI (SpaceDef only),0.1,1270
262,313,623,72,0.45565217391304347,0.7844311377245509,0.5764576457645765,0.7250147141614207,rwanda,SSI (SpaceDef only),0.2,1270
244,270,666,90,0.47470817120622566,0.7305389221556886,0.5754716981132075,0.721038691847075,rwanda,SSI (SpaceDef only),0.3,1270
