TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
254,622,240,389,0.2899543378995434,0.39502332814930013,0.3344305464121132,0.33672280096560137,gambia,SSI (any-pixel),0.1,1505
215,514,348,428,0.29492455418381347,0.3343701399688958,0.31341107871720114,0.36904121847632726,gambia,SSI (any-pixel),0.2,1505
154,396,466,489,0.28,0.23950233281493002,0.2581726739312657,0.39005279053739544,gambia,SSI (any-pixel),0.3,1505
254,626,236,389,0.28863636363636364,0.39502332814930013,0.3335521996060407,0.33440261535075216,gambia,SSI (mean-SSI),0.1,1505
216,526,336,427,0.29110512129380056,0.3359253499222395,0.31191335740072207,0.36285826660845155,gambia,SSI (mean-SSI),0.2,1505
157,427,435,486,0.2688356164383562,0.24416796267496113,0.25590872045639773,0.37440416695232975,gambia,SSI (mean-SSI),0.3,1505
68,13,849,575,0.8395061728395061,0.1057542768273717,0.1878453038674033,0.545336535165426,gambia,SSI (SpaceDef only),0.1,1505
60,8,854,583,0.8823529411764706,0.09331259720062209,0.16877637130801687,0.5420159273706127,gambia,SSI (SpaceDef only),0.2,1505
50,5,857,593,0.9090909090909091,0.07776049766718507,0.14326647564469913,0.535980016815031,gambia,SSI (SpaceDef only),0.3,1505
