TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
738,506,383,175,0.5932475884244373,0.8083242059145673,0.6842837273991655,0.6195726766355739,mauritania,SSI (any-pixel),0.1,1802
730,453,436,183,0.6170752324598479,0.7995618838992333,0.6965648854961832,0.645000289531169,mauritania,SSI (any-pixel),0.2,1802
719,386,503,194,0.6506787330316742,0.787513691128149,0.7125867195242814,0.6766589827969204,mauritania,SSI (any-pixel),0.3,1802
738,507,382,175,0.5927710843373494,0.8083242059145673,0.6839666357738646,0.619010246939286,mauritania,SSI (mean-SSI),0.1,1802
730,460,429,183,0.6134453781512605,0.7995618838992333,0.6942463147883975,0.6410632816571532,mauritania,SSI (mean-SSI),0.2,1802
719,409,480,194,0.6374113475177305,0.787513691128149,0.7045565899069084,0.6637230997822972,mauritania,SSI (mean-SSI),0.3,1802
734,439,450,179,0.6257459505541347,0.8039430449069004,0.703739213806328,0.655064885783034,mauritania,SSI (SpaceDef only),0.1,1802
726,383,506,187,0.654643823264202,0.7951807228915663,0.7181008902077152,0.6821797877674929,mauritania,SSI (SpaceDef only),0.2,1802
715,340,549,198,0.6777251184834123,0.7831325301204819,0.7266260162601625,0.7003401683223331,mauritania,SSI (SpaceDef only),0.3,1802
