country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
togo,SSI (any-pixel),0.1,0.38,0.95,0.54,0.5,3035
togo,SSI (any-pixel),0.2,0.39,0.93,0.55,0.51,3035
togo,SSI (any-pixel),0.3,0.4,0.91,0.55,0.53,3035
togo,SSI (mean-SSI),0.1,0.38,0.95,0.54,0.5,3035
togo,SSI (mean-SSI),0.2,0.39,0.94,0.55,0.51,3035
togo,SSI (mean-SSI),0.3,0.4,0.92,0.55,0.53,3035
togo,SSI (SpaceDef only),0.1,0.51,0.85,0.64,0.67,3035
togo,SSI (SpaceDef only),0.2,0.53,0.82,0.64,0.69,3035
togo,SSI (SpaceDef only),0.3,0.55,0.8,0.65,0.69,3035
