TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
2662,2721,467,65,0.4945197845067806,0.9761642830949762,0.6564734895191122,0.5613255543454806,mozambique,SSI (any-pixel),0.1,5915
2658,2615,573,69,0.5040773753081738,0.9746974697469747,0.6645,0.5772169908333368,mozambique,SSI (any-pixel),0.2,5915
2642,2449,739,85,0.5189550186603811,0.9688302163549688,0.6758761831670503,0.600318495881374,mozambique,SSI (any-pixel),0.3,5915
2664,2723,465,63,0.49452385372192315,0.976897689768977,0.6566428395366034,0.5613785813964082,mozambique,SSI (mean-SSI),0.1,5915
2658,2622,566,69,0.5034090909090909,0.9746974697469747,0.6639190708130387,0.5761191238320821,mozambique,SSI (mean-SSI),0.2,5915
2643,2478,710,84,0.5161101347393088,0.9691969196919692,0.6735474006116209,0.595953541401819,mozambique,SSI (mean-SSI),0.3,5915
2557,1345,1843,170,0.6553049718093286,0.9376604327099377,0.771458741891688,0.757882913971029,mozambique,SSI (SpaceDef only),0.1,5915
2537,1203,1985,190,0.6783422459893048,0.9303263659699303,0.7845987320241226,0.7764868969121923,mozambique,SSI (SpaceDef only),0.2,5915
2506,1081,2107,221,0.698633955952049,0.918958562522919,0.7937915742793792,0.7899372486391257,mozambique,SSI (SpaceDef only),0.3,5915
