TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
2512,1856,141,132,0.575091575091575,0.9500756429652042,0.7164860239589275,0.5103407759142495,uganda,SSI (any-pixel),0.1,4641
2456,1786,211,188,0.578972182932579,0.9288956127080181,0.7133313970374674,0.5172770502198077,uganda,SSI (any-pixel),0.2,4641
2353,1654,343,291,0.5872223608684801,0.8899394856278366,0.7075627725154112,0.5308485610412593,uganda,SSI (any-pixel),0.3,4641
2512,1863,134,132,0.5741714285714286,0.9500756429652042,0.7157714774184356,0.5085881469708344,uganda,SSI (mean-SSI),0.1,4641
2457,1798,199,187,0.5774383078730905,0.9292738275340393,0.7122771416147268,0.5144616508726781,uganda,SSI (mean-SSI),0.2,4641
2362,1703,294,282,0.5810578105781058,0.8933434190620272,0.7041287822328215,0.5202821251544487,uganda,SSI (mean-SSI),0.3,4641
2127,560,1437,517,0.7915891328619278,0.8044629349470499,0.7979741136747326,0.7620211520003151,uganda,SSI (SpaceDef only),0.1,4641
2056,413,1584,588,0.8327257999189955,0.7776096822995462,0.8042245257187561,0.7853997334882808,uganda,SSI (SpaceDef only),0.2,4641
1964,314,1683,680,0.8621597892888498,0.7428139183055976,0.798049573344169,0.7927890322624633,uganda,SSI (SpaceDef only),0.3,4641
