country,τ (threshold),n_blocks,rf_deprived_n,rf_non_deprived_n,WRI(p)_deprived_n,WRI(m)_deprived_n
uganda,0.1,3261,1140,2121,2743,2694
uganda,0.2,3261,1140,2121,2396,1548
uganda,0.3,3261,1140,2121,2054,510
