ID_HDC_G0,Region,Region_L2_pred,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived,Region_L1,Region_L2,UCDB_CityPop,CitySizeClass
1962.0,Africa,Northern Africa,algeria,Mostaganem,174,174,100.0,233172.027722613,3081.552102471,1.3215788071015482,Africa,Northern Africa,233172.0508734146,Small
1963.0,Africa,Northern Africa,algeria,Mohammadia,76,76,100.0,86427.14277243301,11497.056614328,13.302599444482762,Africa,Northern Africa,86427.15902768448,Small
1968.0,Africa,Northern Africa,algeria,Mascara,121,121,100.0,147492.70719912302,1436.059124699,0.9736475463564742,Africa,Northern Africa,147492.8255400937,Small
1970.0,Africa,Northern Africa,algeria,Saida,157,157,100.0,196193.058564965,0.0,0.0,Africa,Northern Africa,196193.08012497053,Small
1986.0,Africa,Northern Africa,algeria,Relizane,105,105,100.0,139962.556866805,6268.598330895,4.478768087139544,Africa,Northern Africa,139962.89290870447,Small
1990.0,Africa,Northern Africa,algeria,El Abiodh Sidi Cheikh,135,135,100.0,147807.821482806,24141.461821683002,16.333006994823545,Africa,Northern Africa,147807.82140099257,Small
2002.0,Africa,Northern Africa,algeria,Oued Rhiou,44,44,100.0,63820.005220703,21334.216831275,33.42872937333175,Africa,Northern Africa,63820.434456520714,Small
2007.0,Africa,Northern Africa,algeria,Frenda,48,48,100.0,58481.297626695,655.411019275,1.1207190091073218,Africa,Northern Africa,58481.38008486666,Small
2018.0,Africa,Northern Africa,algeria,Chettia,86,86,100.0,96537.228577763,40595.194054147,42.0513356890566,Africa,Northern Africa,96537.23399996944,Small
2023.0,Africa,Northern Africa,algeria,Ash Shalif,169,169,100.0,216275.80118634598,49906.434517625996,23.075366843573025,Africa,Northern Africa,216276.23434757628,Small
2024.0,Africa,Northern Africa,algeria,Tiaret,193,193,100.0,250578.142881158,0.0,0.0,Africa,Northern Africa,250578.23317981604,Small
2037.0,Africa,Northern Africa,algeria,Sougueur,81,81,100.0,91766.34156867,0.0,0.0,Africa,Northern Africa,91766.36499091797,Small
2050.0,Africa,Northern Africa,algeria,Tissemsilt,50,50,100.0,77696.803373632,6487.35324238,8.349575478907816,Africa,Northern Africa,77696.8054151889,Small
2055.0,Africa,Northern Africa,algeria,Ain Defla,70,70,100.0,77054.89868118001,5952.778809314,7.725373611798562,Africa,Northern Africa,77054.90915898234,Small
2060.0,Africa,Northern Africa,algeria,Aflou,163,163,100.0,186728.056779715,12126.334037302,6.494114621247069,Africa,Northern Africa,186728.25189461187,Small
2062.0,Africa,Northern Africa,algeria,Khemis Miliana,74,74,100.0,103977.010588977,20528.641584348,19.743442774574554,Africa,Northern Africa,103977.05574532412,Small
2068.0,Africa,Northern Africa,algeria,Ksar Chellala,55,55,100.0,67846.59616415901,9208.10707384,13.571951423414696,Africa,Northern Africa,67846.5957787931,Small
2084.0,Africa,Northern Africa,algeria,Kolea القليعة,138,138,100.0,229488.73319625598,27515.381665449,11.98986167304265,Africa,Northern Africa,229489.06610704307,Small
2088.0,Africa,Northern Africa,algeria,Medea,104,104,100.0,157996.258719002,986.672449531,0.6244910211993103,Africa,Northern Africa,157996.25991072087,Small
2089.0,Africa,Northern Africa,algeria,Blida,451,451,100.0,647758.6330995059,114851.60353692199,17.730617187973312,Africa,Northern Africa,647758.7287168503,Medium
2092.0,Africa,Northern Africa,algeria,Ksar El Boukhari,54,54,100.0,72243.570273488,6126.12439906,8.479819554693533,Africa,Northern Africa,72243.5733004678,Small
2095.0,Africa,Northern Africa,algeria,Algiers,2248,2248,100.0,4098005.835226121,600692.116625658,14.658156693242308,Africa,Northern Africa,4098007.152601509,Large
2096.0,Africa,Northern Africa,algeria,Boufarik,67,67,100.0,83583.33769933801,15241.34110275,18.23490365696501,Africa,Northern Africa,83583.34315440059,Small
2097.0,Africa,Northern Africa,algeria,Laghouat,219,219,100.0,228793.686571102,6018.066448105,2.630346378126466,Africa,Northern Africa,228793.7204020135,Small
2098.0,Africa,Northern Africa,algeria,Berrouaghia,38,38,100.0,54394.60813607901,0.0,0.0,Africa,Northern Africa,54394.93847065326,Small
2099.0,Africa,Northern Africa,algeria,Ain Oussara,112,112,100.0,119894.489654192,39851.050288959996,33.23843356262757,Africa,Northern Africa,119894.62136179209,Small
2105.0,Africa,Northern Africa,algeria,El Menia,70,70,100.0,67766.38712092601,5647.5910011040005,8.33391190093421,Africa,Northern Africa,67766.38689385448,Small
2108.0,Africa,Northern Africa,algeria,Hassi Bahbah,119,119,100.0,130853.830737478,38572.981637382,29.477915487830092,Africa,Northern Africa,130853.83322091028,Small
2109.0,Africa,Northern Africa,algeria,Bougara,85,85,100.0,115247.98631339999,13955.731257298,12.109305944268248,Africa,Northern Africa,115248.30339999683,Small
2111.0,Africa,Northern Africa,algeria,Larbaa,86,86,100.0,107222.77327304299,16514.177940889,15.401744831609248,Africa,Northern Africa,107223.26132579893,Small
2113.0,Africa,Northern Africa,algeria,Meftah,70,70,100.0,115744.237272907,4181.364086513,3.6125894342834455,Africa,Northern Africa,115744.2399098007,Small
2116.0,Africa,Northern Africa,algeria,Djelfa,504,504,100.0,603011.686845926,206963.23966440302,34.321596774837246,Africa,Northern Africa,603011.6952986643,Medium
2117.0,Africa,Northern Africa,algeria,Khemis El Khechna,48,48,100.0,77899.08826631101,2190.9459249789998,2.812543732846893,Africa,Northern Africa,77899.09828021191,Small
2128.0,Africa,Northern Africa,algeria,Messaad,146,146,100.0,149726.569921008,38780.026011825,25.900563962885396,Africa,Northern Africa,149726.57018031925,Small
2137.0,Africa,Northern Africa,algeria,Bordj Menaiel,49,49,100.0,73421.824385225,10492.790215648001,14.291105272180504,Africa,Northern Africa,73421.82603447232,Small
2143.0,Africa,Northern Africa,algeria,Ghardaia,107,107,100.0,126174.665282178,43466.186614688995,34.4492188804154,Africa,Northern Africa,126174.69515756052,Small
2146.0,Africa,Northern Africa,algeria,Sidi Aissa,62,62,100.0,91372.62482881201,24993.392852898,27.353261329335233,Africa,Northern Africa,91372.9545871988,Small
2158.0,Africa,Northern Africa,algeria,Bouira,72,72,100.0,96486.74268339301,2718.319471595,2.817298414264811,Africa,Northern Africa,96486.92355990782,Small
2170.0,Africa,Northern Africa,algeria,Tizi Ouzou,89,89,100.0,116689.04846988499,849.091994447,0.7276535421112231,Africa,Northern Africa,116689.05144664459,Small
2177.0,Africa,Northern Africa,algeria,Bou Saada,158,158,100.0,168525.298848424,16030.952515877,9.512490187182907,Africa,Northern Africa,168525.29964794777,Small
2203.0,Africa,Northern Africa,algeria,M'Sila,177,177,100.0,195290.85004262102,4005.985597899,2.05129200729308,Africa,Northern Africa,195290.85613053944,Small
2207.0,Africa,Northern Africa,algeria,Guerrara,35,35,100.0,67100.599861026,9245.87416353,13.779122962655174,Africa,Northern Africa,67100.60029459745,Small
2213.0,Africa,Northern Africa,algeria,Bordj Bou Arreridjj,187,187,100.0,210933.94508151803,18801.455397093,8.91343277623094,Africa,Northern Africa,210933.99563855957,Small
2230.0,Africa,Northern Africa,algeria,Bejaia,131,131,100.0,204653.12670827797,20498.076399161,10.016009395439095,Africa,Northern Africa,204653.23035590257,Small
2231.0,Africa,Northern Africa,algeria,Ras El Oued,49,49,100.0,57990.091178913004,3483.140821391,6.006441360205307,Africa,Northern Africa,57990.091124688275,Small
2242.0,Africa,Northern Africa,algeria,Ouled Djellal,79,79,100.0,86395.93254204503,605.225973037,0.7005260030528215,Africa,Northern Africa,86395.9384181574,Small
2255.0,Africa,Northern Africa,algeria,Aïn Oulmane,60,60,100.0,70867.84923664501,2471.166372056,3.487006306349405,Africa,Northern Africa,70868.02545772865,Small
2261.0,Africa,Northern Africa,algeria,Setif,283,283,100.0,357997.26997853594,694.533170114,0.194005158239235,Africa,Northern Africa,357997.79606078565,Small
2266.0,Africa,Northern Africa,algeria,Barika,104,104,100.0,123151.24940061901,32652.082538070998,26.513805338548902,Africa,Northern Africa,123151.25999606401,Small
2271.0,Africa,Northern Africa,algeria,Tulqa,70,70,100.0,68577.392613073,8931.8065831,13.02441846031533,Africa,Northern Africa,68577.40806352999,Small
2274.0,Africa,Northern Africa,algeria,Ouargla,234,234,100.0,237338.529517974,6472.541643923,2.7271348049001984,Africa,Northern Africa,237338.61750581022,Small
2291.0,Africa,Northern Africa,algeria,El Eulma,180,180,100.0,194948.87162602,3301.231204776,1.6933830789792486,Africa,Northern Africa,194949.13322647475,Small
2293.0,Africa,Northern Africa,algeria,Jijel,120,120,100.0,169517.45087800798,16439.21874835,9.69765570636168,Africa,Northern Africa,169517.9793716641,Small
2301.0,Africa,Northern Africa,algeria,Biskra,271,271,100.0,298648.579536088,6517.450645937,2.18231429597322,Africa,Northern Africa,298648.6722354945,Small
2322.0,Africa,Northern Africa,algeria,Aïn Touta,57,57,100.0,62077.12142313501,7761.952918231001,12.503725592112044,Africa,Northern Africa,62077.127227031626,Small
2326.0,Africa,Northern Africa,algeria,Tadjenanet,55,55,100.0,52118.222126966,3656.4537436990004,7.0156916227715085,Africa,Northern Africa,52118.222041776404,Small
2337.0,Africa,Northern Africa,algeria,Batna,321,321,100.0,379889.85206629604,15790.882511451002,4.156700271292131,Africa,Northern Africa,379889.9659433253,Small
