Region,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
Africa,algeria,Khenchela,154,154,100.0,162113.388437231,2073.032504811,1.278754657338904
Africa,algeria,Kolea القليعة,138,138,100.0,229488.73319625598,27515.381665449,11.98986167304265
Africa,algeria,Ksar Chellala,55,55,100.0,67846.59616415901,9208.10707384,13.571951423414696
Africa,algeria,Ksar El Boukhari,54,54,100.0,72243.570273488,6126.12439906,8.479819554693533
Africa,algeria,Laghouat,219,219,100.0,228793.686571102,6018.066448105,2.630346378126466
Africa,algeria,Larbaa,86,86,100.0,107222.77327304299,16514.177940889,15.401744831609248
Africa,algeria,M'Daourouch,44,44,100.0,55996.31462415201,0.0,0.0
Africa,algeria,M'Sila,177,177,100.0,195290.85004262102,4005.985597899,2.05129200729308
Africa,algeria,Maghnia,110,110,100.0,112310.17266448098,2407.777026839,2.143863703274743
Africa,algeria,Mascara,121,121,100.0,147492.70719912302,1436.059124699,0.9736475463564742
Africa,algeria,Mecheria,109,109,100.0,108445.174772944,408.173552397,0.37638701145681147
Africa,algeria,Medea,104,104,100.0,157996.258719002,986.672449531,0.6244910211993103
Africa,algeria,Meftah,70,70,100.0,115744.237272907,4181.364086513,3.6125894342834455
Africa,algeria,Messaad,146,146,100.0,149726.569921008,38780.026011825,25.900563962885396
Africa,algeria,Mila,66,66,100.0,78440.88666364699,5055.913989893999,6.445508464958665
Africa,algeria,Mohammadia,76,76,100.0,86427.14277243301,11497.056614328,13.302599444482762
Africa,algeria,Mostaganem,174,174,100.0,233172.027722613,3081.552102471,1.3215788071015482
Africa,algeria,Oran,995,995,100.0,1247369.06445124,196927.44017193,15.78742376928877
Africa,algeria,Ouargla,234,234,100.0,237338.529517974,6472.541643923,2.7271348049001984
Africa,algeria,Oued Rhiou,44,44,100.0,63820.005220703,21334.216831275,33.42872937333175
Africa,algeria,Ouled Djellal,79,79,100.0,86395.93254204503,605.225973037,0.7005260030528215
Africa,algeria,Oum El Bouaghi,80,80,100.0,95331.082707659,0.0,0.0
Africa,algeria,Ras El Oued,49,49,100.0,57990.091178913004,3483.140821391,6.006441360205307
Africa,algeria,Relizane,105,105,100.0,139962.556866805,6268.598330895,4.478768087139544
Africa,algeria,Saida,157,157,100.0,196193.058564965,0.0,0.0
Africa,algeria,Sedrata,57,57,100.0,60695.37883871899,1552.555223304,2.5579463428830085
Africa,algeria,Setif,283,283,100.0,357997.26997853594,694.533170114,0.194005158239235
Africa,algeria,Sidi Aissa,62,62,100.0,91372.62482881201,24993.392852898,27.353261329335233
Africa,algeria,Sidi Bel Abbes,223,223,100.0,269861.32146963,19901.566013607,7.374738219328964
Africa,algeria,Sig,75,75,100.0,79793.086364852,14767.649379100001,18.50742971837845
Africa,algeria,Skikda,132,132,100.0,269216.92811716103,11476.850071931,4.263049189438922
Africa,algeria,Sougueur,81,81,100.0,91766.34156867,0.0,0.0
Africa,algeria,Souk Ahras,176,176,100.0,219773.389744744,8802.853930532001,4.005423013566876
Africa,algeria,Tadjenanet,55,55,100.0,52118.222126966,3656.4537436990004,7.0156916227715085
Africa,algeria,Tebessa,194,194,100.0,258156.611565005,37528.42441513,14.537076617028719
Africa,algeria,Tiaret,193,193,100.0,250578.142881158,0.0,0.0
Africa,algeria,Tinduf,26,26,100.0,29630.343070114002,0.0,0.0
Africa,algeria,Tissemsilt,50,50,100.0,77696.803373632,6487.35324238,8.349575478907816
Africa,algeria,Tizi Ouzou,89,89,100.0,116689.04846988499,849.091994447,0.7276535421112231
Africa,algeria,Tlemcen,225,225,100.0,290957.327114734,17762.591950891,6.104878721231389
Africa,algeria,Touggourt,175,175,100.0,165933.396380129,19018.129609259,11.461303163885864
Africa,algeria,Tulqa,70,70,100.0,68577.392613073,8931.8065831,13.02441846031533
Africa,angola,Andulo,46,46,100.0,55744.73383639999,11094.775064751,19.902821847373097
Africa,angola,Bailundo,65,65,100.0,59390.222297353,20419.54800477,34.382002987855614
Africa,angola,Balombo,36,36,100.0,44755.839847821,24077.412267027998,53.79725271360367
Africa,angola,Benguela,334,334,100.0,372756.678670212,200412.931135422,53.76508124559528
Africa,angola,Cabinda,595,595,100.0,1086967.583967624,691323.133607422,63.601081007767526
Africa,angola,Caconda,58,58,100.0,70824.77290729,17345.751614808,24.49107974905007
Africa,angola,Cafunfo,79,79,100.0,149603.814797725,87668.416330151,58.60038826462075
Africa,angola,Calilongue,76,76,100.0,77781.58008260399,29130.153030657,37.45122302699533
Africa,angola,Calulo,36,36,100.0,67214.758790822,50524.607775093,75.16891927311656
Africa,angola,Camacupa,54,54,100.0,57191.97705670199,16651.55205346,29.115188721227646
Africa,angola,Caxito,59,59,100.0,53145.42094989901,37875.527130597,71.26771498583638
