Region,Country,City,Population,SizeClass
Africa,somalia,Beledweyne,216969.306750576,Small
Africa,somalia,Berbera,115367.163613207,Small
Africa,somalia,Borama,285343.92242521595,Small
Africa,somalia,Bosaso,237700.84468484,Small
Africa,somalia,Burao,374821.44800091203,Small
Africa,somalia,Erigavo,116188.035112933,Small
Africa,somalia,Galkayo,172148.03944180402,Small
Africa,somalia,Garoowe,90808.13761246999,Small
Africa,somalia,Hargeisa,1304591.54960887,Large
Africa,somalia,Kismayo,312142.86120637,Small
Africa,somalia,Las Anod,113075.31554997899,Small
Africa,somalia,Merca,256000.861755496,Small
Africa,somalia,Mogadishu,4269250.743846297,Large
Africa,somalia,Qardho City,96402.16313136701,Small
Asia,sri_lanka,Akkaraipattu,95272.06368220501,Small
Asia,sri_lanka,Ambalangoda,82241.024983708,Small
Asia,sri_lanka,Badulla,67925.95755950999,Small
Asia,sri_lanka,Batticaloa,132554.565575684,Small
Asia,sri_lanka,Colombo,4625367.976780679,Large
Asia,sri_lanka,Galle,204448.606701089,Small
Asia,sri_lanka,Gampola,57995.941079714,Small
Asia,sri_lanka,Horana,76295.210042805,Small
Asia,sri_lanka,Jaffna,207919.272005815,Small
Asia,sri_lanka,Kalmunai,144098.697888176,Small
Asia,sri_lanka,Kandy,558092.320728285,Medium
Asia,sri_lanka,Matale,86259.028873005,Small
Asia,sri_lanka,Matara,226372.98163568295,Small
Asia,sri_lanka,Poojapitiya,54407.604449410996,Small
Asia,sri_lanka,Rathnapura,50643.78926199499,Small
Asia,sri_lanka,Sammanturai,59532.03137562399,Small
Asia,sri_lanka,Tamaraivillu,52573.489227178,Small
Asia,sri_lanka,Trincomalee,80075.84099030601,Small
Asia,sri_lanka,Valaichchenai EP,55060.913105946005,Small
Asia,sri_lanka,Wennappuwa,63538.594132881,Small
Africa,algeria,Adrar,100289.65217801301,Small
Africa,algeria,Aflou,186728.056779715,Small
Africa,algeria,Ain Beida,167489.98198127904,Small
Africa,algeria,Ain Defla,77054.89868118001,Small
Africa,algeria,Ain Fakroun,60835.867766378,Small
Africa,algeria,Ain Mlila,99104.41769358798,Small
Africa,algeria,Ain Oussara,119894.489654192,Small
Africa,algeria,Ain Sefra,73819.964357338,Small
Africa,algeria,Ain Temouchent,93424.83420114701,Small
Africa,algeria,Ain Turk,86902.55057429303,Small
Africa,algeria,Algiers,4098005.835226121,Large
Africa,algeria,Ali Mendjeli,153561.84527565597,Small
Africa,algeria,Annaba,472239.196746657,Small
Africa,algeria,Arzew,70926.698607264,Small
Africa,algeria,Ash Shalif,216275.80118634598,Small
Africa,algeria,Aïn Oulmane,70867.84923664501,Small
Africa,algeria,Aïn Touta,62077.12142313501,Small
Africa,algeria,Barika,123151.24940061901,Small
Africa,algeria,Bashar,203249.809653248,Small
Africa,algeria,Batna,379889.85206629604,Small
Africa,algeria,Bejaia,204653.12670827797,Small
Africa,algeria,Berrouaghia,54394.60813607901,Small
Africa,algeria,Bir El Ater,96959.273041335,Small
Africa,algeria,Biskra,298648.579536088,Small
Africa,algeria,Blida,647758.6330995059,Medium
Africa,algeria,Bordj Bou Arreridjj,210933.94508151803,Small
Africa,algeria,Bordj Menaiel,73421.824385225,Small
Africa,algeria,Bou Saada,168525.298848424,Small
Africa,algeria,Boufarik,83583.33769933801,Small
Africa,algeria,Bougara,115247.98631339999,Small
Africa,algeria,Bouira,96486.74268339301,Small
Africa,algeria,Chelghoum Laid,69996.204125824,Small
Africa,algeria,Cheria,83586.564611694,Small
Africa,algeria,Chettia,96537.228577763,Small
Africa,algeria,Constantine,567466.483476187,Medium
Africa,algeria,Djelfa,603011.686845926,Medium
Africa,algeria,El Abiodh Sidi Cheikh,147807.821482806,Small
Africa,algeria,El Eulma,194948.87162602,Small
Africa,algeria,El Khroub,119583.977327542,Small
Africa,algeria,El Menia,67766.38712092601,Small
Africa,algeria,El Oued,262499.47776794,Small
Africa,algeria,Frenda,58481.297626695,Small
Africa,algeria,Ghardaia,126174.665282178,Small
Africa,algeria,Guelma,157340.03762139298,Small
Africa,algeria,Guerrara,67100.599861026,Small
Africa,algeria,Hassi Bahbah,130853.830737478,Small
Africa,algeria,Hassi Bounif,70962.251974144,Small
Africa,algeria,Jijel,169517.45087800798,Small
Africa,algeria,Khemis El Khechna,77899.08826631101,Small
Africa,algeria,Khemis Miliana,103977.010588977,Small
Africa,algeria,Khenchela,162113.388437231,Small
Africa,algeria,Kolea القليعة,229488.73319625598,Small
Africa,algeria,Ksar Chellala,67846.59616415901,Small
Africa,algeria,Ksar El Boukhari,72243.570273488,Small
Africa,algeria,Laghouat,228793.686571102,Small
Africa,algeria,Larbaa,107222.77327304299,Small
Africa,algeria,M'Daourouch,55996.31462415201,Small
Africa,algeria,M'Sila,195290.85004262102,Small
Africa,algeria,Maghnia,112310.17266448098,Small
Africa,algeria,Mascara,147492.70719912302,Small
Africa,algeria,Mecheria,108445.174772944,Small
Africa,algeria,Medea,157996.258719002,Small
Africa,algeria,Meftah,115744.237272907,Small
Africa,algeria,Messaad,149726.569921008,Small
Africa,algeria,Mila,78440.88666364699,Small
Africa,algeria,Mohammadia,86427.14277243301,Small
Africa,algeria,Mostaganem,233172.027722613,Small
Africa,algeria,Oran,1247369.06445124,Large
Africa,algeria,Ouargla,237338.529517974,Small
Africa,algeria,Oued Rhiou,63820.005220703,Small
Africa,algeria,Ouled Djellal,86395.93254204503,Small
Africa,algeria,Oum El Bouaghi,95331.082707659,Small
Africa,algeria,Ras El Oued,57990.091178913004,Small
Africa,algeria,Relizane,139962.556866805,Small
Africa,algeria,Saida,196193.058564965,Small
Africa,algeria,Sedrata,60695.37883871899,Small
Africa,algeria,Setif,357997.26997853594,Small
Africa,algeria,Sidi Aissa,91372.62482881201,Small
Africa,algeria,Sidi Bel Abbes,269861.32146963,Small
Africa,algeria,Sig,79793.086364852,Small
Africa,algeria,Skikda,269216.92811716103,Small
Africa,algeria,Sougueur,91766.34156867,Small
Africa,algeria,Souk Ahras,219773.389744744,Small
Africa,algeria,Tadjenanet,52118.222126966,Small
Africa,algeria,Tebessa,258156.611565005,Small
Africa,algeria,Tiaret,250578.142881158,Small
Africa,algeria,Tinduf,29630.343070114002,Small
Africa,algeria,Tissemsilt,77696.803373632,Small
Africa,algeria,Tizi Ouzou,116689.04846988499,Small
Africa,algeria,Tlemcen,290957.327114734,Small
Africa,algeria,Touggourt,165933.396380129,Small
Africa,algeria,Tulqa,68577.392613073,Small
Oceania,solomon_islands,Honiara,113234.67327083401,Small
Africa,south_sudan,Bor,136522.991394754,Small
Africa,south_sudan,Juba,266303.704059003,Small
Africa,south_sudan,Malakal,93954.089336219,Small
Africa,south_sudan,Renk,95627.635292259,Small
Africa,south_sudan,Wau,119464.238585383,Small
Africa,south_sudan,Yambio,105666.86580859,Small
Africa,south_sudan,Yei,167103.441124948,Small
Latin America and the Caribbean,suriname,Paramaribo,236581.25500356103,Small
Africa,swaziland,Manzini,46597.166384738,Small
Africa,swaziland,Matsapha,50622.801913365016,Small
Africa,angola,Andulo,55744.73383639999,Small
Africa,angola,Bailundo,59390.222297353,Small
Africa,angola,Balombo,44755.839847821,Small
Africa,angola,Benguela,372756.678670212,Small
Africa,angola,Cabinda,1086967.583967624,Large
Africa,angola,Caconda,70824.77290729,Small
Africa,angola,Cafunfo,149603.814797725,Small
Africa,angola,Calilongue,77781.58008260399,Small
Africa,angola,Calulo,67214.758790822,Small
Africa,angola,Camacupa,57191.97705670199,Small
Africa,angola,Caxito,53145.42094989901,Small
Africa,angola,Cazombo,181356.585263711,Small
Africa,angola,Chitembo,25594.366530307998,Small
Africa,angola,Cubal,106816.83648339398,Small
Africa,angola,Dundo,209521.838417589,Small
Africa,angola,Gabela,150021.97977691502,Small
Africa,angola,Ganda,95482.40543508499,Small
Africa,angola,Huambo,534007.383636265,Medium
Africa,angola,Kuito,709989.682092573,Medium
Africa,angola,Lobito,497843.622734794,Small
Africa,angola,Luanda,10729532.902254956,Megacity
Africa,angola,Luau,172564.13897604,Small
Africa,angola,Lubango,1048557.11967693,Large
Africa,angola,Lucapa,72729.282077211,Small
Africa,angola,Luena,703227.4211263519,Medium
Africa,angola,M'banza Congo,296541.432794063,Small
Africa,angola,Malanje,886331.767861251,Medium
Africa,angola,Matala,240268.5986186,Small
Africa,angola,Menongue,209411.802520347,Small
Africa,angola,N'dalatando,104826.642261684,Small
Africa,angola,N/A,19305.151191683995,Small
Africa,angola,Namibe,318529.441478724,Small
Africa,angola,Negage,48713.566606519,Small
Africa,angola,Panguila,52474.788587071,Small
Africa,angola,Porto Amboim,32008.314293378004,Small
Africa,angola,Saurimo,412517.658527856,Small
Africa,angola,Soyo,114378.74970171698,Small
Africa,angola,Sumbe,163559.452122301,Small
Africa,angola,Uíge,243142.766208355,Small
Africa,angola,Vila Nova do Seles,74720.57755302198,Small
Africa,angola,Waku Kungo,101475.99020369,Small
Africa,south_africa,Atlantis,75906.18385058997,Small
Africa,south_africa,Azaadville,62108.753610518,Small
Africa,south_africa,Bethlehem,58794.799392506,Small
Africa,south_africa,Bloemfontein,447890.639208999,Small
Africa,south_africa,Botshabelo,120738.541321771,Small
Africa,south_africa,Botshabelo Rural,70648.160694859,Small
Africa,south_africa,Bronville,124196.475706606,Small
Africa,south_africa,Cape Town,4428604.687181104,Large
Africa,south_africa,Centurion,221825.672630854,Small
Africa,south_africa,Daveyton,428764.09882159496,Small
Africa,south_africa,De Rust Caravan Park,227721.894958694,Small
Africa,south_africa,Diepsloot,201505.32505771,Small
Africa,south_africa,Durban,3216847.100258917,Large
Africa,south_africa,East London,240356.590750325,Small
Africa,south_africa,Edendale,301728.204154383,Small
Africa,south_africa,Emalahleni,209512.418079269,Small
Africa,south_africa,Ermelo,86023.710841791,Small
Africa,south_africa,Evaton,735690.35839555,Medium
Africa,south_africa,Ezakheni,55802.367097254,Small
Africa,south_africa,Ga-Rankuwa,135991.68722265202,Small
Africa,south_africa,George,182376.14662705298,Small
Africa,south_africa,Johannesburg,8332038.602935153,Very large
Africa,south_africa,Jouberton,139967.269417278,Small
Africa,south_africa,Khutsong,62944.747796799005,Small
Africa,south_africa,Kimberley,226277.943068926,Small
Africa,south_africa,Klipgat,1016496.886353405,Large
Africa,south_africa,Komani (Queenstown),56970.249481777,Small
Africa,south_africa,Kroonstad,90780.993677805,Small
Africa,south_africa,Kutlwanong,45433.733475378,Small
Africa,south_africa,KwaMhlanga,147598.050681144,Small
Africa,south_africa,KwaNobuhle 1,128389.19105406101,Small
Africa,south_africa,Lenasia,112872.23806863201,Small
Africa,south_africa,Lenasia South,150212.97485593503,Small
Africa,south_africa,Lilian Ngoyi Village,155259.91962223902,Small
Africa,south_africa,Mafikeng,137151.56448515,Small
Africa,south_africa,Makhanda (Grahamstown),63567.261946272,Small
Africa,south_africa,Mankweng,60688.518466459,Small
Africa,south_africa,Middelburg,202117.17492195597,Small
Africa,south_africa,Midrand,90960.326612588,Small
Africa,south_africa,Mnandi A.H.,93404.485060115,Small
Africa,south_africa,Modderspruit,64316.624274513,Small
Africa,south_africa,Mokopane,86082.563210011,Small
Africa,south_africa,Mossel Bay,69994.26371065801,Small
Africa,south_africa,Mpumalanga,100600.141098025,Small
Africa,south_africa,Naas,78632.48007064998,Small
