Region,Country,City,CitySizeClass,TotalPop,DeprivedPop,PctDeprived
Asia,afghanistan,Bagram,Small,98120.04371858899,0.0,0.0
Asia,afghanistan,Chaman,Small,175884.146438385,1449.36584305,0.8240457553448318
Asia,afghanistan,Charikar,Small,182398.35578497598,21774.954735313997,11.93813104378191
Asia,afghanistan,Farah,Small,135327.62085285198,0.0,0.0
Asia,afghanistan,Guzarah,Small,164797.329927824,0.0,0.0
Asia,afghanistan,Herat,Large,1333792.33589888,338703.187668384,25.393997142750298
Asia,afghanistan,Injerak,Small,117529.575202353,0.0,0.0
Asia,afghanistan,Jalalabad,Small,483710.41592180997,1427.826261811,0.29518203760197775
Asia,afghanistan,Kabul,Very large,6003884.040119753,906366.610261322,15.096337707469173
Asia,afghanistan,Kandahar,Medium,735208.1559675911,108755.65416451199,14.792498326053128
Asia,afghanistan,Khanabad,Small,86595.19128613599,0.0,0.0
Asia,afghanistan,Kunduz,Small,251980.48075592902,805.820639335,0.31979486542671
Asia,afghanistan,Lashkar Gah,Small,170033.619357708,0.0,0.0
Asia,afghanistan,Maymana,Small,117099.407992388,0.0,0.0
Asia,afghanistan,Mazar i sharif,Medium,720381.470391002,115929.528254391,16.092797083115958
Asia,afghanistan,Pul-i-Alam,Small,52538.374222971004,0.0,0.0
Asia,afghanistan,Puli Khumri,Small,198291.908582029,11137.332884144,5.61663507290149
Asia,afghanistan,Sheberghan,Small,155221.40576137303,0.0,0.0
Asia,afghanistan,Taloqan,Small,296041.749417691,0.0,0.0
Asia,afghanistan,Zaranj,Small,38938.463229944,0.0,0.0
Asia,philippines,Angeles [San Fernando],Large,1418673.8357973571,194411.93588565098,13.703779613048471
Asia,philippines,Apalit,Small,80399.321988886,22845.496380324,28.41503611620263
Asia,philippines,Arayat,Small,70123.90179288699,2929.312394095,4.177337996318018
Asia,philippines,Bacolod,Medium,650193.823274142,38442.56718796601,5.912478066060837
Asia,philippines,Baguio,Medium,551270.0278472019,58519.636101186996,10.615421326226565
Asia,philippines,Balanga,Small,124660.75168807,9915.362185361,7.9538764615919595
Asia,philippines,Bamban,Small,70396.790604498,15572.150511908001,22.12054040843308
Asia,philippines,Batangas City,Small,380940.860458104,42108.80172906901,11.053894737999666
Asia,philippines,Bayambang,Small,62112.496864796,0.0,0.0
Asia,philippines,Bayombong,Small,79494.21943808401,0.0,0.0
Asia,philippines,Binangonan,Small,282234.22432833497,112057.75772689401,39.70381621632552
Asia,philippines,Butuan,Small,215504.703511118,29369.313985292,13.628154516718855
Asia,philippines,Cabanatuan,Small,240676.77051460702,27942.203755619998,11.60984655722067
Asia,philippines,Cadiz,Small,59057.822382416,5812.183706074,9.841513742986452
Asia,philippines,Cagayan de Oro,Medium,936361.736791319,225013.08883122698,24.030572800026132
Asia,philippines,Calbayog,Small,76758.265226598,8640.670101684,11.256989818849977
Asia,philippines,Calumpit,Small,104103.16739801,5678.30845401,5.454501141449943
Asia,philippines,Candelaria,Small,67969.471922813,5551.694322906,8.167923283574389
Asia,philippines,Catbalogan,Small,72448.370022129,15280.92222403,21.092154619023887
Asia,philippines,Cawit,Small,56274.44391903901,5744.556660453,10.208109152917773
Asia,philippines,Cebu City,Large,3113671.4430378554,710481.3414282349,22.81812177122495
Asia,philippines,Cotabato,Small,205188.546620208,51615.694895297995,25.155251472605645
Asia,philippines,Daet,Small,78933.705551267,884.815607826,1.1209604333744565
Asia,philippines,Dagupan,Medium,645896.553251745,6598.965166941,1.0216752409838274
Asia,philippines,Davao City,Large,1068197.033193121,247498.962089383,23.169785573130056
Asia,philippines,Digos,Small,87322.43142630899,509.011061698,0.5829098587658454
Asia,philippines,Dinalaoan,Small,65750.758925899,0.0,0.0
Asia,philippines,Dinalupihan,Small,66210.625569057,6044.961918701,9.129897001797948
Asia,philippines,Dipolog,Small,122698.079204821,18797.817176429002,15.32038422952786
Asia,philippines,Dumaguete,Small,190270.707813998,11727.789070199,6.1637386042961895
Asia,philippines,Gapan,Small,121494.744636335,3114.1211620980002,2.5631735524193786
Asia,philippines,General Santos,Small,445851.178117288,73355.47598581399,16.45290616828127
Asia,philippines,Hagonoy,Small,134452.799977965,9207.385098742,6.848042659023065
Asia,philippines,Iligan,Small,325196.16927935206,58598.644146276005,18.01947552953437
Asia,philippines,Iloilo City,Medium,544067.4903006309,113122.84600691199,20.792061283500807
Asia,philippines,Iriga,Small,64128.64892275099,4169.425755415,6.501658502797193
Asia,philippines,Jolo,Small,59866.524024045,9882.958915359,16.508322600105487
Asia,philippines,Kalibo,Small,76563.656337189,2255.383955321,2.945763124723578
Asia,philippines,Koronadal,Small,114251.028935173,480.340453732,0.42042549481506136
Asia,philippines,Laoag,Small,82046.153919198,1846.201733941,2.250198998674826
Asia,philippines,Legazpi,Small,252735.34091367698,15997.460920696001,6.32972850684939
Asia,philippines,Lemery,Small,91355.113916052,4047.523366284,4.430538360450569
Asia,philippines,Lingayen,Small,131619.392055783,10288.774116478999,7.81706552186353
Asia,philippines,Lipa,Small,314617.39336524,35259.525965055,11.207112737127709
Asia,philippines,Lubao,Small,159815.86422627702,2575.624958838,1.611620330251616
Asia,philippines,Lucena,Small,273166.456448687,23038.076723808997,8.433713649661296
Asia,philippines,Macabebe,Small,69848.659571617,6851.605690016,9.809215712995801
Asia,philippines,Marawi,Small,128521.25230283603,5238.177573965,4.075728706426098
Asia,philippines,Masbate City,Small,77408.456651672,23031.917961299998,29.753749083179166
Asia,philippines,Naga,Small,361446.55322394095,43499.022391263,12.034703887274967
