Region,Country,TotalPop,DeprivedPop,PctDeprived
Latin America and the Caribbean,honduras,4085724.27751044,1158354.04659869,28.351253484596654
Latin America and the Caribbean,jamaica,1225485.167871048,133654.254963154,10.90623195345093
Latin America and the Caribbean,mexico,68977748.92275587,8094120.108232062,11.734392952278267
Latin America and the Caribbean,nicaragua,2583740.154303756,692599.305189513,26.806074288695207
Latin America and the Caribbean,panama,2314617.830533032,232579.23268655303,10.048277932473738
Latin America and the Caribbean,paraguay,2259511.831049339,402788.48595328204,17.826349940651703
Latin America and the Caribbean,peru,17665898.496684294,2895199.00638089,16.38863150336955
Latin America and the Caribbean,suriname,236581.25500356103,7842.6791295759995,3.3150044492992277
Latin America and the Caribbean,venezuela,18355474.481681332,2695164.132687884,14.68316242861302
Oceania,fiji,232937.86514215902,0.0,0.0
Oceania,papua_new_guinea,547881.1824037549,0.0,0.0
Oceania,solomon_islands,113234.67327083401,0.0,0.0
