Region,TotalPop,DeprivedPop,Countries,Cities,PctDeprived
Africa,511909388.3767291,144228110.7573853,52,1484,28.174539094650015
Asia,1108310326.850592,147205600.38569352,30,2675,13.281984009297956
Europe,775997.02032396,0.0,1,5,0.0
Latin America and the Caribbean,338370237.39452213,57490158.17478356,21,936,16.990311741795725
Oceania,894053.720816748,0.0,3,5,0.0
