relative_path,size_bytes,size_mb,sha256
mn_blocks_by_country/south_sudan_mn_blocks.gpkg,9166848,8.742,ef73f46c1510aec805a7e62d283c12c5e1fa931fb5d846229c132ef816cc12fa
mn_blocks_by_country/sudan_mn_blocks.gpkg,81162240,77.402,e0d347b6b5e82e83961f88ae63917dc850a41d1fc59ddaf9542b135c91001b2b
mn_blocks_by_country/tanzania_mn_blocks.gpkg,66437120,63.359,a9cc5730d1f7f2ba0e505cc6b269aee0f1d2e8bc7e5847217af27beee98c0e2c
mn_blocks_by_country/togo_mn_blocks.gpkg,14823424,14.137,5363b85424fa3c87cd30f3e196120832c51ba0624c82b2c16e4b6a3cd79bfddc
mn_blocks_by_country/uganda_mn_blocks.gpkg,32948224,31.422,def56803f56b7d3ea39f86f96d6a8c5902308ceea4b149acada67331665802d7
mn_blocks_by_country/zambia_mn_blocks.gpkg,25812992,24.617,f6744b911f87b69a101b55532038936217b1ec1897604cdc056755b788de3fe1
mn_blocks_by_country/zimbabwe_mn_blocks.gpkg,15663104,14.938,636f31520b59e200dbf9c6c60c3dffd2d01cacf1c088bb8b42356b8a2b0a3091
mn_comparison_files/angola/angola_segments_mnlabels_k3_maj10.csv,9167354,8.743,bf4330d5f36b689bf906ab3c99255536c78c8aade7aaa3fbb383f0c6f25b9821
mn_comparison_files/angola/angola_segments_mnlabels_k3_maj10.gpkg,27078656,25.824,10fbc622a65f41765baa93f658b430cfb78f03678f5406881248a483ab0640e9
mn_comparison_files/angola/angola_segments_mnlabels_k3_maj20.csv,9167354,8.743,97d1cebf3a401e8b8e48a17b5621d5d2b882cf2eea0456d792b475fe07cbc716
mn_comparison_files/angola/angola_segments_mnlabels_k3_maj20.gpkg,27078656,25.824,ed7491eb5a0479fdc7ced63f8762a4927a6e4c8782cba32ea64b9a7de47f698c
mn_comparison_files/angola/angola_segments_mnlabels_k3_maj30.csv,9167354,8.743,b9e68c61d1cf95bdd9a39c46e12b4832fe873dfc390437dd9be1634b4f23986f
mn_comparison_files/angola/angola_segments_mnlabels_k3_maj30.gpkg,27078656,25.824,a8bd99f397e27a7ec5ab706c79fea7ee87aa864498d0eb5f16fdaf516f4a4261
mn_comparison_files/angola/angola_segments_mnlabels_k5_maj10.csv,9058643,8.639,62600980d2d33ccd15d1aadc2ef00ac05a0a26db0d628b25053c5665ccde672b
mn_comparison_files/angola/angola_segments_mnlabels_k5_maj10.gpkg,26988544,25.738,f4c534ca1c70a0338574cc3661eb7603a625d869506f90a365c023b676bfbf06
mn_comparison_files/angola/angola_segments_mnlabels_k5_maj20.csv,9058643,8.639,a1f3f38aede51576f0ef4b0833daf2c572cfc0f975fafea127129b8981ed6096
mn_comparison_files/angola/angola_segments_mnlabels_k5_maj20.gpkg,26988544,25.738,55659418db31accf8e880f45e3c5a2a4135b29bb036984e164aaf5b94d3eb75a
mn_comparison_files/angola/angola_segments_mnlabels_k5_maj30.csv,9058643,8.639,396240d7461cff00d0ef9dd545677374157f23b7c6652004276ca6bc1b3254b6
mn_comparison_files/angola/angola_segments_mnlabels_k5_maj30.gpkg,26988544,25.738,95a9ec5b0533514bd72241824d401c3d75177987020dda299c2153d4e381025f
mn_comparison_files/benin/benin_segments_mnlabels_k3_maj10.csv,2655684,2.533,8a439df12b3de15878d10ff3df5a06409a3b40ec9870e8c440982b24e936da3f
mn_comparison_files/benin/benin_segments_mnlabels_k3_maj10.gpkg,8114176,7.738,77ea38954b1348f7313d6ab13328be4d778a5fc7c36f28be1a01c5e8dcc4766a
mn_comparison_files/benin/benin_segments_mnlabels_k3_maj20.csv,2655684,2.533,677d31bfb7acb0ef29363022c8040172752d50cfacae6aa56df2c510f437c712
mn_comparison_files/benin/benin_segments_mnlabels_k3_maj20.gpkg,8114176,7.738,791b3cf4e7183d8598eeaec98ba7ea654d82fc7fc62511da90d73e3666248c96
mn_comparison_files/benin/benin_segments_mnlabels_k3_maj30.csv,2655684,2.533,a656f205843378495d451dd99714aea90487657c741988d1246c3456c448cf29
mn_comparison_files/benin/benin_segments_mnlabels_k3_maj30.gpkg,8114176,7.738,39717647086adb0f621bc0ed05ff929017245354663d963a9aa18d57822af960
mn_comparison_files/benin/benin_segments_mnlabels_k5_maj10.csv,2626143,2.504,56a5b32f16ec95965c7ea0f51937f552c4db2cf82eb4f3e7ae84ee6fffe324de
mn_comparison_files/benin/benin_segments_mnlabels_k5_maj10.gpkg,8073216,7.699,e05746c570681f24134e6ee37664a3fad682396c4a04cd013eb4c62296ef795f
mn_comparison_files/benin/benin_segments_mnlabels_k5_maj20.csv,2626143,2.504,c33b17161f845fbb38315854f760d5a4a24df564aaf08c7f40506ef7d65f5a56
mn_comparison_files/benin/benin_segments_mnlabels_k5_maj20.gpkg,8073216,7.699,83c95a8223f221a45725d83f4b9e6674e8c122f2956692bbc535ffa922dd65e2
mn_comparison_files/benin/benin_segments_mnlabels_k5_maj30.csv,2626143,2.504,6957a419b0a99553e0e1b87a8dd59c07084b9ec022628eb384c1721a9a32cd13
mn_comparison_files/benin/benin_segments_mnlabels_k5_maj30.gpkg,8073216,7.699,1bf756acf3eadb33895da5c830662442f97a146b31e76065fc4ef0929d9c372e
mn_comparison_files/botswana/botswana_segments_mnlabels_k3_maj10.csv,295025,0.281,0d81c0506a5698bc20fc572eab07b5e2e0c82ffe707324f56b2a91a6a183b1e7
mn_comparison_files/botswana/botswana_segments_mnlabels_k3_maj10.gpkg,1646592,1.57,1d56599cb94b27ef3a0af1b132c4028b37e300085e0fba4aeb64c7f3e3ba4ff0
mn_comparison_files/botswana/botswana_segments_mnlabels_k3_maj20.csv,295025,0.281,815009c708b9324e5d03af70eeb37c27319a276cbd072ccb38be600e0182a835
mn_comparison_files/botswana/botswana_segments_mnlabels_k3_maj20.gpkg,1646592,1.57,d7830a5c45876680a6321a45ba8db644dee0dfbbda95dc88b23ebcbe32065e2a
mn_comparison_files/botswana/botswana_segments_mnlabels_k3_maj30.csv,295025,0.281,35c6a1e15b89ce18d4601733755b14381914c34c2e84ca8e97495f0e7df0f0a5
mn_comparison_files/botswana/botswana_segments_mnlabels_k3_maj30.gpkg,1646592,1.57,77ade121317bb453c7a2d9aa27028360b506859fdcc41a0edad8ade1a74cffc7
mn_comparison_files/botswana/botswana_segments_mnlabels_k5_maj10.csv,290387,0.277,c73c58086b2ec907c75af726fa4f3ef9efb1c2a328b00ae8ac9bb19694f43e98
mn_comparison_files/botswana/botswana_segments_mnlabels_k5_maj10.gpkg,1638400,1.562,397efa8b0c29e7e1a52d8a438870aeda539674a8ff05528fe439d99700d2d94b
mn_comparison_files/botswana/botswana_segments_mnlabels_k5_maj20.csv,290387,0.277,02be00307cc2b1d83305407b13cb70e00ed8709a7309fb55a14ee00281f0ae6e
mn_comparison_files/botswana/botswana_segments_mnlabels_k5_maj20.gpkg,1638400,1.562,f4d2af64d4082c0a327c65f63147300a8d353ab4779a52a7fd2fd079e61c56c7
mn_comparison_files/botswana/botswana_segments_mnlabels_k5_maj30.csv,290387,0.277,6590037be201d0c0381920a1fc3310ccea967bd45d142738ff2b3526703861e0
mn_comparison_files/botswana/botswana_segments_mnlabels_k5_maj30.gpkg,1638400,1.562,f08aeb24d46ff1839da3ee1b3430596f04706b8bcac4450ee809a206675e1b71
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k3_maj10.csv,3116226,2.972,399f704c0bb58f9c52aea788bdb01bdb8d5b980354f5a37eb29ac7b46222b8f4
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k3_maj10.gpkg,9539584,9.098,20e783ebd586ae828984c7e8b75ca98ea0777b69424ca019e479b4cf0894ce25
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k3_maj20.csv,3116226,2.972,1596e734f0856e61f534b3b959ce91d2243378792ddcde1e683c9e6dec780a79
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k3_maj20.gpkg,9539584,9.098,d25791207e3fec8fa44bbd843c48c6d09e319fac9105789044cdae9cbd10721e
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k3_maj30.csv,3116226,2.972,91ea0f1c300a62e6007d330b9387669a6a904b6f871abf064df6f1a12e095142
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k3_maj30.gpkg,9539584,9.098,33055a24c62109135d841fd7623b0e607a2d0f5c61977330e51570b0aa75c0c8
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k5_maj10.csv,3080527,2.938,79ea352353f09e522563db227118b092ece160656e8eb983eb8fecbe0bc26dec
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k5_maj10.gpkg,9502720,9.062,fe70b75144e6d7db016345199a9a814842fe3f542a6d3c7c91ca30ff86a98ff6
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k5_maj20.csv,3080527,2.938,c8ac3280720e4f49a492a972adbd28671c362d0251d1bf8dcc26ddb150e89c31
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k5_maj20.gpkg,9502720,9.062,166e713c7dfcf0392d6a1468f4531bc68411ac1372e93ae31b08d17f618fb000
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k5_maj30.csv,3080527,2.938,0bc79f91d46d88cbaa78538677068ebb820b15158a631f50c4c2623bddf6b9e1
mn_comparison_files/burkina_faso/burkina_faso_segments_mnlabels_k5_maj30.gpkg,9502720,9.062,2b0146eddcaa7277bce52516410991e5e7071aed0662fe830afe3720bb1e823b
mn_comparison_files/burundi/burundi_segments_mnlabels_k3_maj10.csv,761010,0.726,65649a2ec7a8ffe2bef08e59bfc611d8db850777888ec7b0f125022cb29c8c2b
mn_comparison_files/burundi/burundi_segments_mnlabels_k3_maj10.gpkg,2293760,2.188,030fca68686dff61d346ad228130104840ca01a7e15f8d02c6d7e0cea3f0eb91
mn_comparison_files/burundi/burundi_segments_mnlabels_k3_maj20.csv,761010,0.726,85e3ee3ddb519e36ffdf6614283b61c1e941a34a3e015e7d2c4622fcc90c6f86
mn_comparison_files/burundi/burundi_segments_mnlabels_k3_maj20.gpkg,2293760,2.188,a6ed54e493c8f1a80946768df0703c9f773821d0a675e51029bb0da418c15563
mn_comparison_files/burundi/burundi_segments_mnlabels_k3_maj30.csv,761010,0.726,98ab569fd147c4a7132f9afef410b64a3c2511b18eaa076496881d519e8d4df3
mn_comparison_files/burundi/burundi_segments_mnlabels_k3_maj30.gpkg,2293760,2.188,72079d17aefa6c8cd4e8ddb6753beb8f4cd0bc6f13716bfb1de71bad9e21bc57
mn_comparison_files/burundi/burundi_segments_mnlabels_k5_maj10.csv,753975,0.719,80c6a078f35635ca761c8560cc1fa227ca86ac766ad68348e2e5ff371a1b8b01
mn_comparison_files/burundi/burundi_segments_mnlabels_k5_maj10.gpkg,2281472,2.176,a71c596730268bd0c42439b05bde29bb0ff7f1a26c1112e80d0e6bf08db88792
mn_comparison_files/burundi/burundi_segments_mnlabels_k5_maj20.csv,753975,0.719,c2284815515445ca5f3570ecb952a47fd02cbbec96b4b524910cc6d45741575a
mn_comparison_files/burundi/burundi_segments_mnlabels_k5_maj20.gpkg,2281472,2.176,4f7f2ae14139ae41f4e254f83e59815ed6477961072bbf52690e31ab381bac2f
mn_comparison_files/burundi/burundi_segments_mnlabels_k5_maj30.csv,753975,0.719,d86b842ebf25a3c65e7fe050e8cc862e505d05ad82716b1b00a7a8a3b6f31ab0
mn_comparison_files/burundi/burundi_segments_mnlabels_k5_maj30.gpkg,2281472,2.176,c99b7fa1d2f5bb8062d5261f169b1dbf16a9a64a33f76a4911653e6466f1c419
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k3_maj10.csv,5772182,5.505,067baf03f1294149faf575601cd6cdc521878151a867327e03fed93faec9bc7d
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k3_maj10.gpkg,21385216,20.395,146075556338f01d3ea28a1a428fa7fd264845c0923253a0e19e801c531cddea
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k3_maj20.csv,5772182,5.505,320e8e88ce7a60dc02ade9e4ceeee4395076b534375e4d8f2faf034b21af0b3d
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k3_maj20.gpkg,21385216,20.395,e7db8fc606bae7dcbfcfd0de77ea4b7d0ae45e4fb2648add841f666437ac6406
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k3_maj30.csv,5772182,5.505,28223e3fc1d8fcd09500eb684c0986432fdb732b153e5121a7c1fe6a19bde4c0
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k3_maj30.gpkg,21385216,20.395,81fdaf3135f4a64eccc0c0fa358f627098a9f737dd452a8e17b6103ec6096279
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k5_maj10.csv,5692962,5.429,bbf9748187614308eb548b17127f5215bb0aba0d98c4750bea13c651bb1eaf0b
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k5_maj10.gpkg,21299200,20.312,f12cc327fc9aa0035fa5745b2414b8a27147191d63981d982b703169ce6495cb
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k5_maj20.csv,5692962,5.429,b9ee93dc003e3b958440b1f8a3da6b695ec31efe49f7fd2730745a64589d6ef3
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k5_maj20.gpkg,21299200,20.312,c3878320fb06a350c4992e6bd95c90f7cab2a4cf321d8e970779dd814a48d13a
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k5_maj30.csv,5692962,5.429,e9f4327f3cf527b1679bc572ebd9f761bd9f5337a9af5782e74f32a7f8be8e84
mn_comparison_files/cameroon/cameroon_segments_mnlabels_k5_maj30.gpkg,21299200,20.312,48759aff17840dc2effe844df7073f5fb34aaf4008a32291dbe81d04664aa4c0
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k3_maj10.csv,515557,0.492,3263d4c53e79e9a75b107d6b48723bd1c12cc65b96624cb7affae7d67d2ff698
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k3_maj10.gpkg,1982464,1.891,ca02a5c91d3064b680d760bd488a84ade2d16363973a91f5cbeacd0fd00ca823
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k3_maj20.csv,515557,0.492,80dfed8a18cbc29a8a914a24db57ea3820b9a73861af6482ed08e92c4820700d
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k3_maj20.gpkg,1982464,1.891,0ce5fca8968eaf3937f3fde25c9ca081ed7fb209646dc10b421cb0f1d9f5cffe
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k3_maj30.csv,515557,0.492,a1959e8acb2e306e629ab7b18714e7947f9d79996af722197d815d25339ffa1a
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k3_maj30.gpkg,1982464,1.891,9ffbec9117f998b09babecc107e862c6189251c8685cf8651f110619ead2e081
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k5_maj10.csv,511512,0.488,f3020e679f91efa09d53a651cbb9d245619071c975f9bd689d95df46ace8531b
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k5_maj10.gpkg,1982464,1.891,5de4fedb32c099d8c91ce0870da5c5e833b005fab17fe019e9b69a6f79633242
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k5_maj20.csv,511512,0.488,9e3f4addc3015783ac48e4df42e742185a619a28e1f4c02ce7e043b0fbba55c1
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k5_maj20.gpkg,1982464,1.891,14f1ed9d32c68c772be7778e75928e1781fd80c399679813e62b6445add9cbd6
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k5_maj30.csv,511512,0.488,fd521d6e75040fd91d703980f6b88af9b622ca91534944c4f4b79f2adbbfed63
mn_comparison_files/central_african_republic/central_african_republic_segments_mnlabels_k5_maj30.gpkg,1982464,1.891,7aa10e3f7c42dc4a62012021efc72124378f110fd4a8cc69d49bffe63eb02945
mn_comparison_files/chad/chad_segments_mnlabels_k3_maj10.csv,2124783,2.026,ccffe177cdca7ad5e1beab0200b4c1d9651d07684480851a8b490ee0b335d439
mn_comparison_files/chad/chad_segments_mnlabels_k3_maj10.gpkg,5500928,5.246,896afb58a0011c1a9de1273cdd2c7a4eb72a524ff98c5448a81a13f0c33399f1
mn_comparison_files/chad/chad_segments_mnlabels_k3_maj20.csv,2124783,2.026,f135414c4f77e8cb14a92f9757f38310a85b9ad2dd56309a3bbe6495f6d59cd8
mn_comparison_files/chad/chad_segments_mnlabels_k3_maj20.gpkg,5500928,5.246,89c15015f2e4bb533bf6ad17e1a291ce0b75a1b1ce5217c32e41d929fa2e347f
mn_comparison_files/chad/chad_segments_mnlabels_k3_maj30.csv,2124783,2.026,f25338b14e3d1f34788769236d56b62b78611ff33157684ac083dfe42ff9d740
mn_comparison_files/chad/chad_segments_mnlabels_k3_maj30.gpkg,5500928,5.246,7b7da927c43364025579e62235558f647fca6fb1ebb9072ce04f90b9b33915d6
mn_comparison_files/chad/chad_segments_mnlabels_k5_maj10.csv,2097537,2.0,d2618f55cce2474611f13a6c839cd5b92716768e23bb357abc20444873647065
mn_comparison_files/chad/chad_segments_mnlabels_k5_maj10.gpkg,5464064,5.211,347fd26e086c9dc2c5239f52a91841ca9ff896a911e221c822acf33beba9ccc7
mn_comparison_files/chad/chad_segments_mnlabels_k5_maj20.csv,2097537,2.0,5932ea4fd7b67ebd71fc4bc57461f300e0421e63309e7639c12a17d7209ba7cc
mn_comparison_files/chad/chad_segments_mnlabels_k5_maj20.gpkg,5464064,5.211,5adeae8bcac938d1ae10120e78377df1a956d3f2282fab256252b29ac982e898
mn_comparison_files/chad/chad_segments_mnlabels_k5_maj30.csv,2097537,2.0,4bba7ea73a99cade6bd3286faecaed5ccc4dac58e1845a41fe3795166590b636
mn_comparison_files/chad/chad_segments_mnlabels_k5_maj30.gpkg,5464064,5.211,9b516168b97e70a6362cfb6fc5d19fa85b3beb6b744cdab1a73eda04907b7234
mn_comparison_files/comoros/comoros_segments_mnlabels_k3_maj10.csv,124238,0.118,df0c48573acd38dfad06a3c8f6727e379cb0ecb7e197ec3de50004908e3a3c74
