country,τ (threshold),n_blocks,rf_deprived_n,rf_non_deprived_n,WRI(p)_deprived_n,WRI(m)_deprived_n
rwanda,0.1,1159,311,848,908,890
rwanda,0.2,1159,311,848,788,574
rwanda,0.3,1159,311,848,685,194
