raster,raster_name,raster_crs,gpkg,gpkg_name,gpkg_status,layers_checked,intersects,intersection_area,intersection_fraction_of_raster_bbox
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\colombia_rf_preds.gpkg,colombia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\comoros_rf_preds.gpkg,comoros_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\costa_rica_rf_preds.gpkg,costa_rica_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\cote_d_ivoire_rf_preds.gpkg,cote_d_ivoire_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\cuba_rf_preds.gpkg,cuba_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\democratic_republic_of_the_congo_rf_preds.gpkg,democratic_republic_of_the_congo_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\djibouti_rf_preds.gpkg,djibouti_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\dominican_republic_rf_preds.gpkg,dominican_republic_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\ecuador_rf_preds.gpkg,ecuador_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\egypt_rf_preds.gpkg,egypt_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\el_salvador_rf_preds.gpkg,el_salvador_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\equatorial_guinea_rf_preds.gpkg,equatorial_guinea_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\eritrea_rf_preds.gpkg,eritrea_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\ethiopia_rf_preds.gpkg,ethiopia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\gabon_rf_preds.gpkg,gabon_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\gambia_rf_preds.gpkg,gambia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\ghana_rf_preds.gpkg,ghana_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\guatemala_rf_preds.gpkg,guatemala_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\guinea_bissau_rf_preds.gpkg,guinea_bissau_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\guinea_rf_preds.gpkg,guinea_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\haiti_rf_preds.gpkg,haiti_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\honduras_rf_preds.gpkg,honduras_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\india_rf_preds.gpkg,india_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\indonesia_rf_preds.gpkg,indonesia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\iran_rf_preds.gpkg,iran_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\iraq_rf_preds.gpkg,iraq_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\jamaica_rf_preds.gpkg,jamaica_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\jordan_rf_preds.gpkg,jordan_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\kazakhstan_rf_preds.gpkg,kazakhstan_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\kenya_rf_preds.gpkg,kenya_rf_preds.gpkg,OK,1,False,0.0,0.0
