raster_name,gpkg_name,intersection_fraction_of_raster_bbox
Palembang_y2020.tif,indonesia_rf_preds.gpkg,0.36899900738650426
Palmas_y2020.tif,brazil_rf_preds.gpkg,0.01457246779271132
Parbhani_y2020.tif,india_rf_preds.gpkg,0.014277450062374466
Parepare_y2020.tif,indonesia_rf_preds.gpkg,0.18192152306247075
Pematangsiantar_y2020-0000000000-0000000000.tif,indonesia_rf_preds.gpkg,0.009852476183256147
Pokhara_y2020.tif,nepal_rf_preds.gpkg,0.339308492200358
Pokhara_y2020_1.tif,nepal_rf_preds.gpkg,0.39426579493937264
Port_Elizabeth_y2020.tif,south_africa_rf_preds.gpkg,0.08763681067915972
Pune_y2020.tif,india_rf_preds.gpkg,0.1429183454774566
Pyongyang_y2020.tif,kenya_rf_preds.gpkg,1.0
Pyongyang_y2020.tif,north_korea_rf_preds.gpkg,0.19333882219984333
Qingdao_Shandong_y2020-0000000000-0000000000.tif,kenya_rf_preds.gpkg,1.0
Qingdao_Shandong_y2020-0000000000-0000020736.tif,kenya_rf_preds.gpkg,1.0
Qom_y2020.tif,iran_rf_preds.gpkg,0.27974705679442685
Quito_y2020_1.tif,ecuador_rf_preds.gpkg,0.22050754380884013
Rajshahi_y2020.tif,bangladesh_rf_preds.gpkg,0.3312481435227032
Rawang_y2020.tif,malaysia_rf_preds.gpkg,0.11366979912815599
Reynosa_y2020.tif,mexico_rf_preds.gpkg,0.40565005706344237
Ribeirao_Preto_y2020.tif,brazil_rf_preds.gpkg,0.09681922020974941
Saidpur_y2020.tif,bangladesh_rf_preds.gpkg,0.15465056214617584
San_Jose_MetroArea_y2020.tif,costa_rica_rf_preds.gpkg,0.11381541327594157
San_Jose_MetroArea_y2020_1.tif,costa_rica_rf_preds.gpkg,0.09786407088556122
San_Salvador_y2020.tif,el_salvador_rf_preds.gpkg,0.3488219705815063
Sana_y2020.tif,yemen_rf_preds.gpkg,0.03548865407710373
Sao_Paulo_y2020.tif,brazil_rf_preds.gpkg,0.36255298271053016
Seoul_y2020-0000000000-0000000000.tif,north_korea_rf_preds.gpkg,0.0016559942216593099
Shanghai_y2020.tif,kenya_rf_preds.gpkg,1.0
Shymkent_y2020.tif,kazakhstan_rf_preds.gpkg,0.08110166572587595
Sialkot_y2020.tif,pakistan_rf_preds.gpkg,0.3437353474684107
Singapore_y2020.tif,indonesia_rf_preds.gpkg,0.006601670530701758
Singapore_y2020.tif,malaysia_rf_preds.gpkg,0.005722116203573321
Singrauli_y2020.tif,india_rf_preds.gpkg,0.17970266438069302
Sitapur_y2020.tif,india_rf_preds.gpkg,0.025297397713327865
Taipei_Taiwan_y2020.tif,kenya_rf_preds.gpkg,1.0
Tashkent_y2020.tif,uzbekistan_rf_preds.gpkg,0.08221052421099398
Tashkent_y2020.tif,kazakhstan_rf_preds.gpkg,0.002764414267578175
Tebessa_y2020.tif,algeria_rf_preds.gpkg,0.04009555646077492
Tehran_y2020.tif,iran_rf_preds.gpkg,0.2410429496805537
Tijuana_y2020.tif,mexico_rf_preds.gpkg,0.020574686665947008
Ulaanbaatar_y2020.tif,mongolia_rf_preds.gpkg,0.03362699863151816
Valledupar_y2020.tif,colombia_rf_preds.gpkg,0.6082641577636456
Vijayawada_y2020.tif,india_rf_preds.gpkg,0.14038317332931263
Vinh_Long_y2020.tif,vietnam_rf_preds.gpkg,0.20057336994347735
Yucheng_Zhejiang_y2020.tif,kenya_rf_preds.gpkg,1.0
Zhuji_Zhejiang_y2020.tif,kenya_rf_preds.gpkg,1.0
