,mean,std
precision,0.8605450436371992,0.008465609724251474
recall,0.6682738669238187,0.0
f1,0.752301448372153,0.003236135830879417
accuracy,0.7799517839922855,0.0038225489464274167
specificity,0.8916297010607521,0.007645097892854845
balanced_acc,0.7799517839922855,0.003822548946427419
tn,924.62,7.927966514890467
fp,112.38,7.927966514890467
fn,344.0,0.0
tp,693.0,0.0
