threshold,precision,recall,f1,accuracy,specificity,balanced_acc,tn,fp,fn,tp,region_code
0.4,0.2956521739130435,0.6296296296296297,0.40236686390532544,0.8813439849624061,0.898394380331159,0.7640120049803943,3581,405,100,170,1
0.4,0.4662576687116564,0.8201438848920863,0.5945241199478487,0.8726453726453727,0.8793900184842883,0.8497669516881874,1903,261,50,228,2
0.4,0.3161843515541265,0.6032719836400818,0.4149085794655415,0.8705461334992999,0.8925564163017851,0.7479141999709334,5300,638,194,295,3
