TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
146,244,1542,170,0.37435897435897436,0.4620253164556962,0.4135977337110482,0.6627035876791358,WRI (p_informal),0.1,2102
121,154,1632,195,0.44,0.3829113924050633,0.40947546531302875,0.6483425942988362,WRI (p_informal),0.2,2102
100,110,1676,216,0.47619047619047616,0.31645569620253167,0.38022813688212925,0.627432775312912,WRI (p_informal),0.3,2102
172,243,1543,144,0.41445783132530123,0.5443037974683544,0.47058823529411764,0.7041227833926318,WRI (m_informal),0.1,2102
62,34,1752,254,0.6458333333333334,0.1962025316455696,0.30097087378640774,0.5885827887791117,WRI (m_informal),0.2,2102
8,1,1785,308,0.8888888888888888,0.02531645569620253,0.049230769230769224,0.5123782726409344,WRI (m_informal),0.3,2102
