ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2350,940.046230331,3.95754,1896.24741983246,59.0,6.0,0.101694915254237,136.7776761782439,0.7578,365.7623822812973,22283.3,377.7,1.5654,3199135.315961638,3,670.7694915254236,0.538,0.557,0.541,0.57,0.541,0.566,32.13978677682135,0.427,0.39,0.431,0.418,0.431,0.412,1.0,0.0,1.0,0.0,1.0,0.0,237.53297005993625,15.932986954762711,156.67437172183332,0.4957402818320281,6595.900000000001,479.148011095898,0.1016949152542373,316.0412366387433,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2351,2416.1479077,11.1031,2642.2658003121155,186.0,89.0,0.478494623655914,285.6955993509586,1.1927,365.7623822812973,47048.4,252.9,1.82,3199135.315961638,3,596.9408602150537,0.526,0.557,0.53,0.57,0.53,0.566,14.205730109204922,0.319,0.39,0.327,0.418,0.327,0.412,2.0,1.0,2.0,1.0,2.0,1.0,217.61020865343912,12.990042514516128,27.1477293,0.9144227304514916,1247.5393258426966,237.9755023652958,0.478494623655914,29.688379778787816,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2352,1034.51821978,83.6656,2068.427941996786,241.0,180.0,0.746887966804979,1175.813166530927,2.033,365.7623822812973,41543.5,172.4,4.1877,3199135.315961638,3,3471.601659751037,0.69,0.557,0.691,0.57,0.691,0.566,8.582688556003262,0.247,0.39,0.262,0.418,0.262,0.412,1.0,0.0,1.0,0.0,1.0,0.0,12.36491723934329,4.292606721078838,5.747323443222222,0.5001470917963491,4648.0888888888885,24.72256150672183,0.7468879668049793,11.49126634442659,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2353,912.477223553,2.52318,1077.8413943053922,34.0,9.0,0.264705882352941,352.3573287204801,0.7679,365.7623822812973,13309.9,391.5,1.5555,3199135.315961638,3,742.1117647058824,0.549,0.557,0.551,0.57,0.551,0.566,31.70121747957036,0.426,0.39,0.429,0.418,0.429,0.412,1.0,0.0,1.0,0.0,1.0,0.0,361.6377838889814,26.83756539861765,101.38635817255556,0.8465783819158662,2803.5333333333333,427.1757838542602,0.2647058823529412,119.76015492282136,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2354,12957.4053537,102.21,8659.983060684439,1124.0,770.0,0.685053380782918,401.58599399461673,2.3409,365.7623822812973,233922.2,208.1,4.2455,3199135.315961638,3,909.341637010676,0.568,0.557,0.57,0.57,0.57,0.566,7.704611263954127,0.231,0.39,0.248,0.418,0.248,0.412,1.0,0.0,1.0,0.0,1.0,0.0,126.77238385383036,11.52794070613879,16.827799160649352,1.496239110735156,1327.4025974025972,84.72735603839584,0.6850533807829181,11.246731247642128,0.11099314737959656,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2355,759.272159048,3.49167,1315.147519603712,50.0,16.0,0.32,292.3834026210295,0.8309,365.7623822812973,14491.4,289.8,1.9702,3199135.315961638,3,698.3340000000001,0.542,0.557,0.545,0.57,0.545,0.566,26.30295039207424,0.401,0.39,0.406,0.418,0.406,0.412,1.0,0.0,2.0,1.0,2.0,1.0,217.4524393908932,15.18544318096,47.4545099405,0.5773285108554121,2182.29375,376.6528679983252,0.32,82.196719975232,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2356,466.807419632,1.23052,484.3812124262049,26.0,6.0,0.230769230769231,712.4425156873823,0.6128,365.7623822812973,6911.2,265.8,2.8777,3199135.315961638,3,473.2769230769231,0.502,0.557,0.506,0.57,0.506,0.566,18.63004663177712,0.355,0.39,0.362,0.418,0.362,0.412,2.0,1.0,2.0,1.0,2.0,1.0,379.3578484153041,17.95413152430769,77.80123660533333,0.963719086654538,2050.866666666667,393.6394470843261,0.2307692307692307,80.73020207103416,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2357,725.953310353,2.58767,840.5263608315271,65.0,29.0,0.446153846153846,337.1504153689085,0.5563,365.7623822812973,12368.3,190.3,1.3176,3199135.315961638,3,398.1030769230769,0.482,0.557,0.487,0.57,0.487,0.566,12.931174782023492,0.306,0.39,0.315,0.418,0.315,0.412,2.0,1.0,2.0,1.0,2.0,1.0,280.5432340109056,11.168512466969233,25.032872770793105,0.8636889265850262,892.3000000000001,324.8197648199064,0.4461538461538462,28.983667614880243,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2358,1032.68737071,2.80768,1177.5876530535395,53.0,15.0,0.283018867924528,247.37929857314447,0.9248,365.7623822812973,15373.7,290.1,1.8168,3199135.315961638,3,529.7509433962264,0.514,0.557,0.518,0.57,0.518,0.566,22.218634963274333,0.379,0.39,0.384,0.418,0.384,0.412,2.0,1.0,2.0,1.0,2.0,1.0,367.8080731101836,19.484667371886797,68.845824714,0.8769515950954426,1871.7866666666664,419.416619078221,0.2830188679245283,78.50584353690263,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2359,2540.42667012,30.1856,3575.485271471369,302.0,188.0,0.622516556291391,323.14879627577903,2.4174,365.7623822812973,63130.8,209.0,2.2781,3199135.315961638,3,999.523178807947,0.578,0.557,0.579,0.57,0.579,0.566,11.839355203547578,0.294,0.39,0.304,0.418,0.304,0.412,1.0,0.0,1.0,0.0,1.0,0.0,84.16021778993957,8.412008841456954,13.512907819787234,0.710512413626745,1605.6170212765958,118.4500315207042,0.6225165562913907,19.0185386780392,0.08986928104575163,0.0,0
