ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1109,1422.02419969,4.07098,1716.1888654794257,149.0,48.0,0.322147651006711,217.42680857608656,0.4324,291.4489313716269,16790.2,112.7,0.9396,3294899.462836777,3,273.2201342281879,0.545,0.573,0.43,0.495,0.43,0.496,11.518046077043126,0.379,0.38,0.283,0.31,0.3,0.323,2.0,1.0,2.0,1.0,2.0,1.0,349.30758679482585,9.54378657510067,29.625504160208333,0.8285942347567619,848.1208333333333,421.5665184990901,0.3221476510067114,35.753934697488035,0.8886255924170616,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1110,1432.19853296,1.79941,777.5287525687762,110.0,50.0,0.454545454545455,130.48539626527608,0.5029,291.4489313716269,9166.2,83.3,0.7648,3294899.462836777,3,163.58272727272728,0.454,0.573,0.361,0.495,0.361,0.496,7.068443205170693,0.273,0.38,0.21,0.31,0.24,0.323,2.0,1.0,2.0,1.0,2.0,1.0,795.9267387421432,13.019986663272729,28.6439706592,1.8419878727678496,359.88199999999995,432.1020515439929,0.4545454545454545,15.550575051375525,0.9946236559139785,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1111,487.549514919,1.22178,732.9554250386457,40.0,8.0,0.2,198.22253795442987,0.375,291.4489313716269,4796.5,119.9,1.0516,3294899.462836777,3,305.44500000000005,0.562,0.573,0.443,0.495,0.443,0.496,18.323885625966145,0.469,0.38,0.347,0.31,0.358,0.323,1.0,0.0,1.0,0.0,1.0,0.0,399.0485315842459,12.188737872975,60.943689364875,0.6651830360533774,1527.225,599.907859875465,0.2,91.61942812983072,0.992,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1112,688.807635754,1.35604,729.7978398795668,93.0,30.0,0.32258064516129,74.91764017868346,0.5211,291.4489313716269,5453.7,58.6,0.8553,3294899.462836777,3,145.81075268817204,0.427,0.573,0.34,0.495,0.34,0.496,7.847288600855557,0.297,0.38,0.226,0.31,0.253,0.323,2.0,1.0,2.0,1.0,2.0,1.0,507.9552489262854,7.406533717784946,22.960254525133333,0.943833481156465,452.0133333333333,538.183121353033,0.3225806451612903,24.326594662652223,0.7553956834532374,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1113,1483.77671128,2.406,1004.1852605075592,94.0,37.0,0.393617021276596,192.27863750227044,0.4874,291.4489313716269,8726.1,92.8,0.8601,3294899.462836777,3,255.95744680851067,0.535,0.573,0.423,0.495,0.423,0.496,10.682821920293184,0.363,0.38,0.272,0.31,0.291,0.323,2.0,1.0,2.0,1.0,2.0,1.0,616.6985499916874,15.784858630638295,40.10207327783784,1.477592601319436,650.2702702702703,417.36710744287575,0.3936170212765957,27.140142175879976,0.9142857142857143,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1114,779.984075226,1.91259,656.5438099201288,138.0,83.0,0.601449275362319,131.4874650523307,0.3254,291.4489313716269,8998.9,65.2,0.6624,3294899.462836777,3,138.59347826086957,0.414,0.573,0.331,0.495,0.331,0.496,4.757563840000933,0.171,0.38,0.142,0.31,0.19,0.323,2.0,1.0,2.0,1.0,2.0,1.0,407.8156192524273,5.652058516130435,9.397398496698797,1.1880152755090148,230.43253012048197,343.27472689919364,0.6014492753623188,7.910166384579864,0.7788944723618091,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1115,727.849291719,3.87965,1427.4470631153774,139.0,65.0,0.467625899280576,194.5306303158272,0.637,291.4489313716269,14759.8,106.2,1.0469,3294899.462836777,3,279.11151079136687,0.549,0.573,0.433,0.495,0.433,0.496,10.269403331765306,0.355,0.38,0.266,0.31,0.286,0.323,2.0,1.0,2.0,1.0,2.0,1.0,187.6069469459874,5.236325839705036,11.197681411061538,0.5098958206761672,596.8692307692307,367.9319173418678,0.4676258992805755,21.960724047928885,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1116,564.56289323,1.24558,600.580588357977,58.0,20.0,0.344827586206897,174.69115084468675,0.3787,291.4489313716269,4802.6,82.8,0.8057,3294899.462836777,3,214.75517241379308,0.507,0.573,0.4,0.495,0.4,0.496,10.35483773030995,0.357,0.38,0.268,0.31,0.287,0.323,2.0,1.0,2.0,1.0,2.0,1.0,453.25301725300665,9.733842986724138,28.2281446615,0.940028539339822,622.79,482.1694217617312,0.3448275862068966,30.02902941789885,0.04580152671755725,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1117,644.544550377,2.85734,858.5269052634732,29.0,11.0,0.379310344827586,646.1267358720502,0.6268,291.4489313716269,11439.1,394.5,0.9212,3294899.462836777,3,985.289655172414,0.708,0.573,0.558,0.495,0.558,0.496,29.60437604356804,0.557,0.38,0.411,0.31,0.417,0.323,0.0,0.0,0.0,0.0,0.0,0.0,225.57502795502103,22.225674150931034,58.594959125181816,0.7507563786590891,2597.581818181818,300.4636848479611,0.3793103448275862,78.04790047849757,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1118,463.898340863,1.1871,688.4167269154995,54.0,14.0,0.259259259259259,155.75645938582124,0.5665,291.4489313716269,5552.8,102.8,1.4265,3294899.462836777,3,219.8333333333333,0.511,0.573,0.403,0.495,0.403,0.496,12.748457905842583,0.399,0.38,0.297,0.31,0.313,0.323,1.0,0.0,2.0,1.0,2.0,1.0,390.78286653441154,8.59071001598148,33.13559577592857,0.673862680445796,847.9285714285714,579.9146886660765,0.2592592592592592,49.17262335110711,0.9596774193548387,1.0,1
