country,τ (threshold),n_blocks,rf_deprived_n,rf_non_deprived_n,WRI(p)_deprived_n,WRI(m)_deprived_n
malaysia,0.1,1145,0,1145,19,25
malaysia,0.2,1145,0,1145,4,0
malaysia,0.3,1145,0,1145,1,0
