heldout_city,n_train,pos_rate_train,best_n_estimators_cv,best_n_estimators_refit,AUC,AP,TN,FP,FN,TP,Precision_pos,Recall_pos,F1_pos,Specificity,BalAcc,F1_macro,F1_micro,F1_weighted,Accuracy,MCC,n_test,pos_rate_test,TP_area_km2,FP_area_km2,FN_area_km2,TN_area_km2,Precision_area,Recall_area,F1_area,n_area_valid,area_total_km2
Argentina,49763,0.15489419850089423,1350,1350,0.7069998175547119,0.15172233514572783,14033,537,690,179,0.25,0.20598388952819333,0.22586750788643534,0.9631434454358271,0.5845636674820102,0.5919901838070076,0.9205259407992745,0.9168976767008326,0.9205259407992745,0.18535265122026673,15439,0.05628602888788134,30.338423,66.9786823,91.0037207,1828.7025400900002,0.3117481033419106,0.25002379284650794,0.27749498947561096,15439,2017.02336609
Brazil,63393,0.12386225608505672,1350,1350,0.7758582516859652,0.6530150229888623,841,243,285,440,0.6442166910688141,0.6068965517241379,0.625,0.775830258302583,0.6913634050133605,0.6930429864253393,0.7081260364842454,0.7065462656551331,0.7081260364842454,0.3868948803821251,1809,0.4007739082365948,22.12248907,15.36064592,19.724613570000002,226.24833564,0.5901984739510713,0.5286504363352024,0.5577315719935276,1809,283.4560842
Colombia,62799,0.1327091195719677,1350,1350,0.9145137936290201,0.6220185580827681,2012,148,65,178,0.5460122699386503,0.7325102880658436,0.6256590509666081,0.9314814814814815,0.8319958847736626,0.7876938162550766,0.9113607990012484,0.9169575054177873,0.9113607990012484,0.5846092197118353,2403,0.10112359550561797,12.36944124,7.45118134,4.171265600000001,206.09038713,0.6240692586761319,0.7478181772792969,0.6803624310389694,2403,230.08227531
India,55805,0.138320938983962,1350,1350,0.7488428930635278,0.3064614340685312,8472,67,736,122,0.6455026455026455,0.14219114219114218,0.23304680038204392,0.9921536479681462,0.5671723950796442,0.5938998581839221,0.9145471959135895,0.888857008016446,0.9145471959135895,0.2756477314426,9397,0.09130573587315101,6.362372130000001,2.7278040400000005,34.35410095,1134.96379402,0.6999173625476611,0.15626039410385986,0.25548284117908215,9397,1178.40807114
Indonesia,54688,0.1474363662960796,1350,1350,0.8285632295719845,0.1950182642889602,3333,6667,10,504,0.07028308464649281,0.980544747081712,0.13116460637605726,0.3333,0.656922373540856,0.315376202610947,0.3649419821190793,0.48157662127978507,0.3649419821190793,0.1453243449586107,10514,0.04888719802168537,34.78602626,508.50353011,0.4618264,500.40213933999996,0.06402852006289891,0.9868977436879697,0.12025506291226251,10514,1044.15352211
Kenya,62160,0.1180019305019305,1350,1350,0.8669618894256576,0.7708012925669199,858,942,33,1209,0.5620641562064156,0.9734299516908212,0.7126436781609196,0.4766666666666667,0.725048309178744,0.6751624187906047,0.6794871794871795,0.6682871581960499,0.6794871794871795,0.4861202843783739,3042,0.40828402366863903,52.339659850000004,67.63064973,2.68077228,259.21368949,0.4362717745184967,0.9512767861643474,0.5981991885803751,3042,381.86477135
Mexico,52729,0.1520036412600277,1350,1350,0.7010714997440985,0.08211825571143802,9260,2651,279,283,0.09645535105657806,0.50355871886121,0.16189931350114417,0.7774326253043405,0.6404956720827752,0.5126512884522039,0.7650926000160346,0.8317953727719003,0.7650926000160346,0.13742119879386014,12473,0.04505732381945001,36.424175899999994,186.15355935,48.245499,1104.19493958,0.16364698768764202,0.430191517128407,0.23709997023061966,12473,1375.0181738299998
Nigeria,55077,0.09101802930442834,1350,1350,0.669606529485613,0.512085090184248,4250,2311,1383,2181,0.48552983081032947,0.6119528619528619,0.541459781529295,0.6477671086724585,0.6298599853126602,0.6192619557146228,0.6351604938271604,0.6422913992734799,0.6351604938271604,0.24967178270893067,10125,0.352,108.03281713,181.51270084,215.46564536,1260.51758123,0.3731116885780748,0.33395156285584976,0.35244719978797323,10125,1765.52874456
