TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
1304,2507,190,156,0.34216741012857516,0.8931506849315068,0.49478277366723583,0.4817996657879633,WRI (p_informal),0.1,4157
1256,2405,292,204,0.34307566238732584,0.8602739726027397,0.4905291935168912,0.48427120951234504,WRI (p_informal),0.2,4157
1213,2276,421,247,0.34766408713098307,0.8308219178082191,0.4902000404122044,0.4934606437391114,WRI (p_informal),0.3,4157
1423,2552,145,37,0.3579874213836478,0.9746575342465753,0.5236430542778289,0.5142104875533952,WRI (m_informal),0.1,4157
1246,2146,551,214,0.36733490566037735,0.8534246575342466,0.5136026380873866,0.5288628664015319,WRI (m_informal),0.2,4157
892,1411,1286,568,0.38732088580112894,0.6109589041095891,0.4740898219505713,0.5438925035935414,WRI (m_informal),0.3,4157
