country,τ (threshold),n_blocks,rf_deprived_n,rf_non_deprived_n,WRI(p)_deprived_n,WRI(m)_deprived_n
vietnam,0.1,9384,2376,7008,2788,3474
vietnam,0.2,9384,2376,7008,1860,756
vietnam,0.3,9384,2376,7008,1256,59
