TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
3,70,100,1,0.0410958904109589,0.75,0.07792207792207792,0.6691176470588236,WRI (p_informal),0.1,174
3,36,134,1,0.07692307692307693,0.75,0.13953488372093026,0.7691176470588235,WRI (p_informal),0.2,174
2,23,147,2,0.08,0.5,0.13793103448275865,0.6823529411764706,WRI (p_informal),0.3,174
4,96,74,0,0.04,1.0,0.07692307692307693,0.7176470588235294,WRI (m_informal),0.1,174
2,10,160,2,0.16666666666666666,0.5,0.25,0.7205882352941176,WRI (m_informal),0.2,174
0,0,170,4,0.0,0.0,0.0,0.5,WRI (m_informal),0.3,174
