TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
1479,3553,11826,272,0.2939189189189189,0.8446601941747572,0.43609022556390975,0.8068154342354377,WRI (p_informal),0.1,17130
1406,2897,12482,345,0.32674877992098533,0.8029697315819532,0.46448629005616127,0.8072979875804298,WRI (p_informal),0.2,17130
1323,2371,13008,428,0.35814834867352463,0.7555682467161622,0.4859504132231405,0.8006984871008471,WRI (p_informal),0.3,17130
1473,3463,11916,278,0.298419773095624,0.8412335808109651,0.44055630327501116,0.808028195568367,WRI (m_informal),0.1,17130
1164,1676,13703,587,0.4098591549295775,0.6647629925756711,0.5070790677412328,0.7778916074784201,WRI (m_informal),0.2,17130
695,578,14801,1056,0.5459544383346425,0.3969160479725871,0.4596560846560846,0.6796661649577481,WRI (m_informal),0.3,17130
