country,τ (threshold),n_blocks,rf_deprived_n,rf_non_deprived_n,WRI(p)_deprived_n,WRI(m)_deprived_n
thailand,0.1,8526,133,8393,2680,2990
thailand,0.2,8526,133,8393,1775,755
thailand,0.3,8526,133,8393,1264,92
