TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
18,625,2061,243,0.027993779160186624,0.06896551724137931,0.03982300884955752,0.41813875266387657,WRI (p_informal),0.1,2947
15,517,2169,246,0.02819548872180451,0.05747126436781609,0.03783102143757881,0.4324958704564323,WRI (p_informal),0.2,2947
12,432,2254,249,0.02702702702702703,0.04597701149425287,0.03404255319148936,0.44257152882977724,WRI (p_informal),0.3,2947
27,652,2034,234,0.039764359351988215,0.10344827586206896,0.05744680851063829,0.43035407091688704,WRI (m_informal),0.1,2947
11,283,2403,250,0.03741496598639456,0.0421455938697318,0.03963963963963964,0.46839223103762095,WRI (m_informal),0.2,2947
2,80,2606,259,0.024390243902439025,0.007662835249042145,0.011661807580174927,0.48893938486204896,WRI (m_informal),0.3,2947
