TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
84,50,943,412,0.6268656716417911,0.1693548387096774,0.26666666666666666,0.5595011857193906,WRI (p_informal),0.1,1489
62,32,961,434,0.6595744680851063,0.125,0.21016949152542372,0.5463872104733132,WRI (p_informal),0.2,1489
46,22,971,450,0.6764705882352942,0.09274193548387097,0.16312056737588654,0.5352934249423383,WRI (p_informal),0.3,1489
95,42,951,401,0.6934306569343066,0.19153225806451613,0.3001579778830964,0.5746180927784816,WRI (m_informal),0.1,1489
38,15,978,458,0.7169811320754716,0.07661290322580645,0.1384335154826958,0.5307535815222688,WRI (m_informal),0.2,1489
20,8,985,476,0.7142857142857143,0.04032258064516129,0.07633587786259542,0.5161330929409089,WRI (m_informal),0.3,1489
