ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label1
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1910,4787.10195711,5.59193,853.9135637157104,193.0,156.0,0.808290155440414,156.93146207915655,1.0341,573.8556651739551,21927.5,113.6,1.5126,24357086.230834488,3,289.73730569948185,0.494,0.617,0.453,0.514,0.453,0.516,4.424422609925961,0.17,0.45,0.187,0.317,0.187,0.311,2.0,1.0,2.0,1.0,2.0,1.0,856.0732979686799,24.8036370834715,30.686551007115384,5.606073214576257,358.4570512820513,152.7046232187653,0.8082901554404145,5.473804895613529,0.5008976660682226,1
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1911,2319.35200532,3.4912,1088.485512637065,97.0,66.0,0.680412371134021,131.9412942459116,2.2431,573.8556651739551,12925.6,133.3,1.3207,24357086.230834488,3,359.9175257731959,0.519,0.617,0.473,0.514,0.473,0.516,11.221500130279022,0.318,0.45,0.278,0.317,0.278,0.311,2.0,1.0,2.0,1.0,2.0,1.0,664.3423479949587,23.910845415670103,35.14169705030303,2.130806499850351,528.969696969697,311.7797641604792,0.6804123711340206,16.492204736925228,0.23579545454545456,0
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1912,792.713081813,6.90551,2159.0673153383955,61.0,10.0,0.163934426229508,640.8354841895771,0.7054,573.8556651739551,12825.9,210.3,1.0039,24357086.230834488,3,1132.0508196721312,0.635,0.617,0.573,0.514,0.573,0.516,35.39454615308845,0.483,0.45,0.4,0.317,0.4,0.311,0.0,0.0,0.0,0.0,0.0,0.0,114.79428482660948,12.995296423163936,79.2713081813,0.3671553342415155,6905.509999999999,312.6586327930009,0.1639344262295081,215.90673153383955,0.025604551920341393,0
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1913,9564.20310906,11.9295,2055.978937433588,191.0,122.0,0.638743455497382,433.2080666218847,0.7034,573.8556651739551,59450.4,311.3,2.4521,24357086.230834488,3,624.5811518324608,0.576,0.617,0.522,0.514,0.522,0.516,10.76428763054234,0.311,0.45,0.274,0.317,0.274,0.311,2.0,1.0,1.0,0.0,1.0,0.0,801.7270723047906,50.07436182753926,78.39510745131147,4.65189741729489,977.8278688524592,172.3440997052339,0.6387434554973822,16.852286372406457,0.5121338912133891,1
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1914,857.703750305,2.34633,770.7576399356742,15.0,0.0,0.0,0.0,0.3651,573.8556651739551,3524.9,235.0,0.4448,24357086.230834488,3,1564.22,0.665,0.617,0.601,0.514,0.601,0.516,51.38384266237828,0.535,0.45,0.441,0.317,0.441,0.311,0.0,0.0,0.0,0.0,0.0,0.0,365.5512013676678,57.18025002033333,0.0,1.1128060311884578,0.0,328.4949857588976,0.0,0.0,0.0,0
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1915,810.122643479,7.47847,1905.8007720342605,91.0,38.0,0.417582417582418,295.9004602612714,1.0285,573.8556651739551,17554.5,192.9,1.1237,24357086.230834488,3,821.8098901098901,0.604,0.617,0.546,0.514,0.546,0.516,20.94286562675012,0.409,0.45,0.344,0.317,0.344,0.311,2.0,1.0,0.0,0.0,0.0,0.0,108.3273241022562,8.902446631637362,21.319016933657892,0.4250825455455511,1968.0184210526315,254.83832549094407,0.4175824175824176,50.15265189563844,0.0,0
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1916,504.212398373,0.701811,423.0335955643219,15.0,2.0,0.133333333333333,343.92324337341347,0.3522,573.8556651739551,3623.1,241.5,0.4005,24357086.230834488,3,467.874,0.547,0.617,0.497,0.514,0.497,0.516,28.202239704288125,0.451,0.45,0.375,0.317,0.375,0.311,1.0,0.0,1.0,0.0,1.0,0.0,718.4447071547753,33.61415989153333,252.1061991865,1.1918968225215931,3509.055,602.7742448669541,0.1333333333333333,211.51679778216092,0.0,0
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1917,453.313815104,1.32876,553.1050384779921,42.0,14.0,0.333333333333333,316.29483552306294,0.3319,573.8556651739551,6109.0,145.5,0.5634,24357086.230834488,3,316.37142857142857,0.504,0.617,0.461,0.514,0.461,0.516,13.169167582809337,0.341,0.45,0.295,0.317,0.295,0.311,2.0,1.0,2.0,1.0,2.0,1.0,341.15552477798855,10.793186073904762,32.379558221714284,0.8195799777044288,949.1142857142856,416.2565387865319,0.3333333333333333,39.50750274842801,0.0,0
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1918,1928.24402308,17.7107,3185.149176954332,310.0,207.0,0.667741935483871,280.61696453304774,1.1802,573.8556651739551,38463.9,124.1,0.8346,24357086.230834488,3,571.3129032258064,0.567,0.617,0.515,0.514,0.515,0.516,10.274674764368813,0.304,0.45,0.269,0.317,0.269,0.311,2.0,1.0,1.0,0.0,2.0,1.0,108.87452348467312,6.220142009935484,9.315188517294686,0.6053857813101878,855.5893719806763,179.84321212342437,0.667741935483871,15.38719409156682,0.2881165919282511,0
6845.0,Mumbai,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,India,Asia,South-Central Asia,1919,598.479936887,3.95715,803.5101299263947,33.0,15.0,0.454545454545455,877.0383422322506,0.7107,573.8556651739551,7727.1,234.2,1.0628,24357086.230834488,3,1199.1363636363635,0.64,0.617,0.578,0.514,0.578,0.516,24.348791815951355,0.43,0.45,0.36,0.317,0.36,0.311,1.0,0.0,0.0,0.0,0.0,0.0,151.24014426721251,18.135755663242424,39.89866245913333,0.7448318503984804,2638.1,203.05273490426055,0.4545454545454545,53.56734199509298,0.0,0
