ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label1
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14280,500.311109815,2.71032,985.6897527770384,33.0,7.0,0.212121212121212,340.2941028202052,0.7512,367.0997806900358,7157.8,216.9,0.9705,13734029.290018829,3,821.3090909090909,0.604,0.542,0.565,0.507,0.565,0.509,29.86938644778904,0.51,0.363,0.459,0.325,0.461,0.333,0.0,0.0,0.0,0.0,0.0,0.0,184.594848510508,15.160942721666666,71.47301568785714,0.5075746282290607,3871.8857142857137,363.6802122173908,0.2121212121212121,140.8128218252912,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14281,433.759015955,5.53659,1713.5008902339468,106.0,49.0,0.462264150943396,266.40988391120027,0.8523,367.0997806900358,17325.3,163.4,1.6771,13734029.290018829,3,522.3198113207548,0.553,0.542,0.517,0.507,0.517,0.509,16.165102738056103,0.406,0.363,0.366,0.325,0.371,0.333,0.0,0.0,0.0,0.0,0.0,0.0,78.34407387128178,4.092066188254717,8.852224815408164,0.2531419845925952,1129.9163265306122,309.48668589040307,0.4622641509433962,34.96940592314177,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14282,1567.46971702,14.7196,3052.6894049213006,144.0,59.0,0.409722222222222,615.1568150210958,0.8613,367.0997806900358,31734.8,220.4,1.3229,13734029.290018829,3,1022.1944444444443,0.627,0.542,0.586,0.507,0.586,0.509,21.199231978620144,0.453,0.363,0.408,0.325,0.411,0.333,0.0,0.0,0.0,0.0,0.0,0.0,106.48860818364628,10.885206368194444,26.56728333932203,0.5134717323331522,2494.8474576271187,207.3894266774437,0.4097222222222222,51.74049838849662,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14283,780.634461416,11.1504,2994.886674899736,273.0,164.0,0.600732600732601,270.68262496409835,0.6527,367.0997806900358,32564.5,119.3,1.026,13734029.290018829,3,408.4395604395604,0.522,0.542,0.489,0.507,0.489,0.509,10.970280860438592,0.336,0.363,0.304,0.325,0.311,0.333,2.0,1.0,2.0,1.0,2.0,1.0,70.00954776653752,2.8594668916337,4.759966228146341,0.2606557596848416,679.9024390243902,268.59006626665735,0.6007326007326007,18.261504115242293,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14284,933.008168068,12.7112,3299.311393627203,390.0,214.0,0.548717948717949,222.8484151634944,0.5991,367.0997806900358,33086.6,84.8,1.2621,13734029.290018829,3,325.9282051282051,0.491,0.542,0.46,0.507,0.46,0.509,8.459772804172315,0.285,0.363,0.259,0.325,0.269,0.333,2.0,1.0,2.0,1.0,2.0,1.0,73.40047895304929,2.392328636071795,4.359851252654206,0.2827887570328025,593.981308411215,259.55939593643427,0.5487179487179488,15.41734296087478,0.04160246533127889,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14285,1095.33341458,34.0204,5096.050219971065,312.0,158.0,0.506410256410256,508.1216591598404,1.3663,367.0997806900358,33042.6,105.9,1.2735,13734029.290018829,3,1090.397435897436,0.633,0.542,0.593,0.507,0.593,0.509,16.333494294779054,0.408,0.363,0.368,0.325,0.373,0.333,0.0,0.0,0.0,0.0,0.0,0.0,32.19637084161268,3.510684021089744,6.9324899656962025,0.2149377198614457,2153.1898734177216,149.79395362697278,0.5064102564102564,32.25348240488016,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14286,2573.68827152,79.5506,13014.226453585492,582.0,278.0,0.47766323024055,299.30212276559826,2.6991,367.0997806900358,99450.3,170.9,2.294,13734029.290018829,3,1366.8487972508592,0.656,0.542,0.614,0.507,0.614,0.509,22.36121383777576,0.462,0.363,0.416,0.325,0.419,0.333,0.0,0.0,0.0,0.0,0.0,0.0,32.352845503616564,4.4221447964261165,9.25787148028777,0.1977596041300583,2861.53237410072,163.5968358954614,0.4776632302405498,46.81376422153055,0.10736121301051602,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14287,502.286814601,5.36017,1349.4500531452452,135.0,78.0,0.577777777777778,303.30175119563364,0.4452,367.0997806900358,13062.1,96.8,0.852,13734029.290018829,3,397.0496296296296,0.518,0.542,0.485,0.507,0.485,0.509,9.995926319594409,0.318,0.363,0.288,0.325,0.297,0.333,2.0,1.0,2.0,1.0,2.0,1.0,93.70725454621775,3.720643071118519,6.439574546166667,0.3722159359883603,687.2012820512821,251.7550848471681,0.5777777777777777,17.300641706990323,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14288,666.909228213,8.99542,2548.959496106217,225.0,111.0,0.493333333333333,265.7392405620324,0.4828,367.0997806900358,19946.9,88.7,1.0768,13734029.290018829,3,399.7964444444444,0.519,0.542,0.486,0.507,0.486,0.509,11.328708871583189,0.342,0.363,0.309,0.325,0.316,0.333,2.0,1.0,2.0,1.0,2.0,1.0,74.13875374501691,2.96404101428,6.008191245162163,0.2616397903661351,810.3981981981982,283.36192152297696,0.4933333333333333,22.963599064019974,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14289,821.015149374,17.1857,2975.1679544288354,176.0,90.0,0.511363636363636,840.5501923283823,0.494,367.0997806900358,32475.7,184.5,0.8096,13734029.290018829,3,976.4602272727273,0.622,0.542,0.582,0.507,0.582,0.509,16.904363377436564,0.414,0.363,0.373,0.325,0.378,0.333,0.0,0.0,0.0,0.0,0.0,0.0,47.77315729786974,4.664858803261364,9.1223905486,0.2759558996163012,1909.522222222222,173.11881124591,0.5113636363636364,33.05742171587595,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14290,721.872812768,8.43756,2500.85082023076,317.0,179.0,0.564668769716088,183.6342876029632,0.4807,367.0997806900358,27209.3,85.8,0.9853,13734029.290018829,3,266.1690851735016,0.46,0.542,0.431,0.507,0.431,0.509,7.88911930672164,0.271,0.363,0.247,0.325,0.258,0.333,2.0,1.0,2.0,1.0,2.0,1.0,85.55468793916725,2.2772013021072555,4.032809009877095,0.2886508891007705,471.37206703910607,296.395026551605,0.5646687697160884,13.971233632574076,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14291,737.700471325,8.42869,2085.8577295838168,169.0,89.0,0.526627218934911,290.2002873759982,0.6102,367.0997806900358,25804.7,152.7,1.6673,13734029.290018829,3,498.73905325443786,0.547,0.542,0.512,0.507,0.512,0.509,12.34235342949004,0.358,0.363,0.323,0.325,0.33,0.333,1.0,0.0,1.0,0.0,1.0,0.0,87.52255348399336,4.365091546301775,8.288769340730337,0.3536676834964149,947.0438202247192,247.4711645088165,0.5266272189349113,23.436603703188958,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14292,963.920427973,24.5577,4027.384715692708,304.0,164.0,0.539473684210526,267.47121424096827,2.5739,367.0997806900358,31314.7,103.0,1.299,13734029.290018829,3,807.8190789473684,0.602,0.542,0.563,0.507,0.563,0.509,13.247976038462854,0.371,0.363,0.335,0.325,0.341,0.333,0.0,0.0,0.0,0.0,0.0,0.0,39.251250238133046,3.1707908814901318,5.877563585201219,0.2393415320411489,1497.4207317073171,163.9968203737609,0.5394736842105263,24.55722387617505,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14293,596.189041913,7.84396,1919.0009774356072,254.0,160.0,0.62992125984252,203.35368501602488,0.7541,367.0997806900358,20396.5,80.3,1.0336,13734029.290018829,3,308.81732283464567,0.483,0.542,0.452,0.507,0.452,0.509,7.555121958407902,0.262,0.363,0.239,0.325,0.251,0.333,2.0,1.0,2.0,1.0,2.0,1.0,76.00612980089139,2.347200952413386,3.72618151195625,0.3106767786589131,490.24750000000006,244.64696115681457,0.6299212598425197,11.993756108972544,0.11677018633540373,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14294,841.511242737,10.6904,2433.715457213899,247.0,140.0,0.566801619433198,273.66973814129835,0.9563,367.0997806900358,28792.9,116.6,1.0331,13734029.290018829,3,432.8097165991903,0.53,0.542,0.496,0.507,0.496,0.509,9.85309901706032,0.315,0.363,0.286,0.325,0.294,0.333,2.0,1.0,2.0,1.0,2.0,1.0,78.71653471684876,3.406928108246964,6.010794590978572,0.3457722390029755,763.6,227.65429331118565,0.5668016194331984,17.383681837242136,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14295,586.242978084,7.09014,1871.1395145991985,145.0,70.0,0.482758620689655,295.6018009337471,0.5222,367.0997806900358,20569.1,141.9,1.225,13734029.290018829,3,488.9751724137931,0.545,0.542,0.51,0.507,0.51,0.509,12.904410445511711,0.366,0.363,0.33,0.325,0.337,0.333,0.0,0.0,0.0,0.0,0.0,0.0,82.68425984310606,4.043055021268966,8.374899686914286,0.3133079994890569,1012.8771428571428,263.9072732836303,0.4827586206896552,26.730564494274265,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14296,593.027090912,3.43358,1000.5582221974848,49.0,20.0,0.408163265306122,521.1699431169309,0.4331,367.0997806900358,8666.2,176.9,0.7964,13734029.290018829,3,700.7306122448979,0.586,0.542,0.549,0.507,0.549,0.509,20.41955555505071,0.447,0.363,0.402,0.325,0.406,0.333,0.0,0.0,0.0,0.0,0.0,0.0,172.7139285853249,12.102593692081632,29.6513545456,0.592696234717415,1716.7900000000002,291.4037891056812,0.4081632653061224,50.02791110987424,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14297,815.166135405,10.5793,2423.247905297677,134.0,61.0,0.455223880597015,426.0253415295805,0.758,367.0997806900358,38929.2,290.5,1.9119,13734029.290018829,3,789.5000000000001,0.599,0.542,0.561,0.507,0.561,0.509,18.083939591773703,0.426,0.363,0.384,0.325,0.388,0.333,0.0,0.0,0.0,0.0,0.0,0.0,77.05293690556086,6.08332936869403,13.363379268934423,0.3363940328279632,1734.311475409836,229.05559964247888,0.4552238805970149,39.72537549668323,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14298,839.900497608,10.8772,3087.023013074305,308.0,176.0,0.571428571428571,206.6503186791556,0.7486,367.0997806900358,31713.9,103.0,1.2855,13734029.290018829,3,353.1558441558442,0.503,0.542,0.47,0.507,0.47,0.509,10.022801990500987,0.319,0.363,0.289,0.325,0.297,0.333,2.0,1.0,2.0,1.0,2.0,1.0,77.21660883389107,2.7269496675584417,4.7721619182272725,0.2720745825511549,618.0227272727273,283.8067713266562,0.5714285714285714,17.539903483376733,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14299,778.066717923,11.0792,2888.9260432058254,185.0,85.0,0.459459459459459,320.1440274849631,0.7429,367.0997806900358,40888.6,221.0,1.592,13734029.290018829,3,598.8756756756757,0.569,0.542,0.532,0.507,0.532,0.509,15.61581644976122,0.4,0.363,0.361,0.325,0.366,0.333,0.0,0.0,0.0,0.0,0.0,0.0,70.22769856334392,4.205766042827027,9.153726093211766,0.2693273231250959,1303.4352941176471,260.7522242766468,0.4594594594594595,33.987365214186184,0.0,0
1105.0,Buenos Aires,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa Mar,Argentina,Latin America and the Caribbean,South America,14300,425.244076417,7.56556,1931.4027529949208,169.0,84.0,0.497041420118343,353.6186894129885,0.4102,367.0997806900358,19594.8,115.9,0.9257,13734029.290018829,3,447.66627218934906,0.534,0.542,0.5,0.507,0.5,0.509,11.42841865677468,0.344,0.363,0.311,0.325,0.318,0.333,2.0,1.0,2.0,1.0,2.0,1.0,56.2078783879845,2.51623713856213,5.062429481154761,0.2201736928031179,900.6619047619047,255.2888025466616,0.4970414201183432,22.9928899166062,0.0,0
