ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3723,1160.93819135,7.75524,2536.420667590537,95.0,21.0,0.221052631578947,286.89294846160675,0.6496,300.488035441348,44692.4,470.4,2.0556,17596021.147334844,3,816.3410526315789,0.532,0.482,0.532,0.484,0.532,0.484,26.699164922005657,0.48,0.402,0.441,0.368,0.441,0.365,0.0,0.0,0.0,0.0,0.0,0.0,149.69726163858243,12.220402014210526,55.282771016666665,0.4577072747372101,3692.971428571428,327.0589520879479,0.2210526315789473,120.78193655193031,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3724,409.841878747,2.08909,995.0624262306186,60.0,14.0,0.233333333333333,211.04341046942383,0.4247,300.488035441348,12472.8,207.9,1.156,17596021.147334844,3,348.1816666666668,0.441,0.482,0.442,0.484,0.442,0.484,16.58437377051031,0.413,0.402,0.38,0.368,0.38,0.365,1.0,0.0,1.0,0.0,1.0,0.0,196.1820116639302,6.830697979116667,29.2744199105,0.4118755446324267,1492.207142857143,476.31381425913605,0.2333333333333333,71.07588758790133,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3725,601.537880143,2.07642,920.0443924243132,54.0,16.0,0.296296296296296,216.83977151050627,0.5685,300.488035441348,11747.2,217.5,1.352,17596021.147334844,3,384.5222222222223,0.453,0.482,0.454,0.484,0.454,0.484,17.03785911896876,0.417,0.402,0.383,0.368,0.383,0.365,1.0,0.0,1.0,0.0,1.0,0.0,289.6995213603221,11.13959037301852,37.5961175089375,0.6538139736474565,1297.7625,443.0916637406272,0.2962962962962963,57.50277452651957,0.4881516587677725,1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3727,556.975444769,4.03422,2015.3350726363456,102.0,36.0,0.352941176470588,218.77845493119733,0.7524,300.488035441348,13923.6,136.5,1.1379,17596021.147334844,3,395.5117647058824,0.457,0.482,0.457,0.484,0.457,0.484,19.75818698663084,0.438,0.402,0.402,0.368,0.402,0.365,1.0,0.0,1.0,0.0,1.0,0.0,138.06273449861433,5.460543576166667,15.47154013247222,0.27636865567987,1120.6166666666668,499.5600320846026,0.3529411764705882,55.98152979545405,0.004914004914004914,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3728,618.183086222,3.60405,1505.7529399979535,82.0,12.0,0.146341463414634,201.53062235436823,0.5748,300.488035441348,16177.7,197.3,1.3297,17596021.147334844,3,439.51829268292687,0.469,0.482,0.469,0.484,0.469,0.484,18.36284073168236,0.427,0.402,0.393,0.368,0.393,0.365,1.0,0.0,1.0,0.0,1.0,0.0,171.52455882188096,7.538818124658537,51.51525718516667,0.4105474874402969,3003.375,417.79468653263785,0.1463414634146341,125.47941166649612,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3729,408.15724418,6.70533,1793.8256249102974,162.0,82.0,0.506172839506173,262.0855383269176,0.7797,300.488035441348,12513.0,77.2,0.9923,17596021.147334844,3,413.9092592592593,0.462,0.482,0.462,0.484,0.462,0.484,11.072997684631463,0.357,0.402,0.329,0.368,0.329,0.365,2.0,1.0,2.0,1.0,2.0,1.0,60.8705677692224,2.5194891616049384,4.977527368048781,0.2275345153464459,817.7231707317073,267.5223478800145,0.5061728395061729,21.875922255003623,0.12205882352941176,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3730,841.475402728,4.1068,1849.195654042043,23.0,0.0,0.0,0.0,0.4516,300.488035441348,25658.4,1115.6,1.3254,17596021.147334844,3,1785.5652173913045,0.603,0.482,0.603,0.484,0.603,0.484,80.39981104530622,0.638,0.402,0.586,0.368,0.586,0.365,0.0,0.0,0.0,0.0,0.0,0.0,204.89807215544948,36.58588707513043,0.0,0.4550494161548944,0.0,450.2765301553626,0.0,0.0,0.014354066985645933,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3731,1050.51442748,20.5362,4993.358517446046,241.0,126.0,0.522821576763486,428.489488674325,0.9716,300.488035441348,64740.2,268.6,2.3282,17596021.147334844,3,852.1244813278009,0.536,0.482,0.536,0.484,0.536,0.484,20.719329947908903,0.444,0.402,0.409,0.368,0.409,0.365,0.0,0.0,0.0,0.0,0.0,0.0,51.15427525442876,4.358981026887967,8.33741609111111,0.2103823356183338,1629.857142857143,243.14909854043327,0.5228215767634855,39.62982950354005,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3732,535.964673274,3.51224,1154.3823891808968,98.0,46.0,0.469387755102041,246.83306482025628,0.5061,300.488035441348,18592.9,189.7,1.344,17596021.147334844,3,358.39183673469387,0.445,0.482,0.445,0.484,0.445,0.484,11.779412134498946,0.366,0.402,0.336,0.368,0.336,0.365,2.0,1.0,2.0,1.0,2.0,1.0,152.59910292975425,5.469027278306123,11.65140594073913,0.4642869453806367,763.5304347826087,328.674119416924,0.4693877551020408,25.09526933001949,0.0,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3733,416.641143761,2.45657,762.1845369825636,24.0,4.0,0.166666666666667,764.9495931437019,0.7784,300.488035441348,11002.6,458.4,3.0213,17596021.147334844,3,1023.5708333333332,0.553,0.482,0.553,0.484,0.553,0.484,31.75768904094015,0.505,0.402,0.464,0.368,0.464,0.365,0.0,0.0,0.0,0.0,0.0,0.0,169.6027972990796,17.360047656708335,104.16028594025,0.5466407720766073,6141.425,310.2637160685686,0.1666666666666666,190.5461342456409,0.8825910931174089,1
