country,τ (threshold),n_blocks,rf_deprived_n,rf_non_deprived_n,WRI(p)_deprived_n,WRI(m)_deprived_n
iran,0.1,12682,279,12403,819,817
iran,0.2,12682,279,12403,533,207
iran,0.3,12682,279,12403,377,51
