feature,importance
i5_par_area,0.17518710000801124
i1_pop_area,0.1656216366546455
REGION_CODE,0.1301192472746421
i9_roads_par,0.11895835188401323
B_AVG_SEG,0.11621243053676113
B_CV_SEG,0.1128281104285727
i6_paru_area,0.09756113593918882
PARU_A_SEG,0.08351198727416537
