Rule,Threshold,TotalSegments,RF_Deprived_Seg,Rule_Deprived_Seg,Total_Pop,RF_Deprived_Pop,Rule_Deprived_Pop
Any-pixel,0.1,342602,187219,251861,441540979.55466056,206210006.65379867,341546110.0435108
Any-pixel,0.2,342602,187219,242526,441540979.55466056,206210006.65379867,323978600.890484
Any-pixel,0.3,342602,187219,229057,441540979.55466056,206210006.65379867,300111178.5098893
Mean-SSI,0.1,342602,187219,252245,441540979.55466056,206210006.65379867,342741838.0762598
Mean-SSI,0.2,342602,187219,244079,441540979.55466056,206210006.65379867,327711014.6907116
Mean-SSI,0.3,342602,187219,232409,441540979.55466056,206210006.65379867,307910127.7893028
SpaceDef,0.1,342602,187219,147859,441540979.55466056,206210006.65379867,187934665.9803768
SpaceDef,0.2,342602,187219,140411,441540979.55466056,206210006.65379867,169834006.2103292
SpaceDef,0.3,342602,187219,133358,441540979.55466056,206210006.65379867,154752465.61242506
