tif,overlapping_blocks
Culiacan_y2020.tif,700
Guadalajara_y2020.tif,4061
Mexico_City_y2020.tif,4906
Mexico_City_y2020_1.tif,17349
Reynosa_y2020.tif,604
Tijuana_y2020.tif,190
