TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
1603,1941,20768,3498,0.452313769751693,0.3142521074299157,0.3708502024291498,0.614389693681491,WRI (p_informal),0.1,27810
1339,1454,21255,3762,0.47941281775868244,0.262497549500098,0.3392449961996453,0.5992350357038558,WRI (p_informal),0.2,27810
1130,1119,21590,3971,0.5024455313472654,0.22152519113899236,0.3074829931972789,0.5861247867712224,WRI (p_informal),0.3,27810
1572,1798,20911,3529,0.4664688427299703,0.3081748676730053,0.3711486247196317,0.6144996052222969,WRI (m_informal),0.1,27810
795,731,21978,4306,0.5209698558322412,0.15585179376592825,0.2399275690357628,0.5618309565509372,WRI (m_informal),0.2,27810
349,260,22449,4752,0.5730706075533661,0.0684179572632817,0.1222416812609457,0.5284843760511662,WRI (m_informal),0.3,27810
