country,τ (threshold),UC_NM_MN,n_blocks,rf_deprived_n,WRI_p_deprived_n,WRI_m_deprived_n
india,0.3,Dahegam,28,1,0,0
india,0.3,Dhule,21,0,0,0
india,0.3,Gandhinagar,174,0,64,1
india,0.3,Ghatampur,2,0,0,0
india,0.3,Ghatkesar,129,6,72,39
india,0.3,Guruvayur,103,1,0,0
india,0.3,Habra,91,3,0,0
india,0.3,Hatisala,28,0,0,0
india,0.3,Hindupur,60,6,44,28
india,0.3,Hoskote,41,0,0,0
india,0.3,Hosur,45,0,0,0
india,0.3,Hyderabad,7646,684,2799,1112
india,0.3,Jaipur,3025,169,1949,872
india,0.3,Jalna,255,12,101,11
india,0.3,Jigani,144,0,10,3
india,0.3,Kadi,26,1,0,0
india,0.3,Kalol,115,6,36,6
india,0.3,Kanjikode,21,0,0,0
india,0.3,Kanpur,1935,410,782,226
india,0.3,Karamadai - காரமடை,5,0,0,0
india,0.3,Kolkata,7662,2086,5214,3113
india,0.3,Kozhikode,1189,111,505,94
india,0.3,Lonavala,2,0,0,0
india,0.3,Malappuram,271,1,13,1
india,0.3,Malegaon,401,20,233,69
india,0.3,Mangalagiri,72,1,5,0
india,0.3,Manjeri,164,5,52,8
india,0.3,Mannarkkad,69,3,0,0
india,0.3,Mansa,9,2,0,0
india,0.3,Masat,21,0,0,0
india,0.3,Mumbai,9140,1395,1824,688
india,0.3,N/A,113,4,4,0
india,0.3,Padi Meena,81,0,52,30
india,0.3,Palakkad,61,0,0,0
india,0.3,Palladam,37,0,0,0
india,0.3,Pandua,7,0,0,0
india,0.3,Parbhani,369,16,211,39
india,0.3,Perinthalmanna,89,0,0,0
india,0.3,Pune,3602,524,94,3
india,0.3,Renwal,30,0,0,0
india,0.3,Shamirpet,36,1,0,0
india,0.3,Sitapur,72,19,36,8
india,0.3,Talegaon,40,0,0,0
india,0.3,Tamluk,5,0,0,0
india,0.3,Tiruppur,113,0,0,0
india,0.3,Unnao,78,15,44,13
india,0.3,Uran,27,0,0,0
india,0.3,Vasai-Virar,11,1,0,0
india,0.3,Vijayawada,1072,53,59,1
india,0.3,Waidhan,119,0,5,0
