iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,150,23.3753803730011,0.08205165457918327,0.19841036796569825,0.0009173050722444811,True,balanced_subsample,22,sqrt,8,6,150,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 22, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 150}",0.8804298950551553,0.8903294252501215,0.8786991814206153,0.8745245511518671,0.8754687560422781,0.8798903617840075,0.005639620092411319,8,0.9883481961057157,0.9881258551364145,0.9884878678523155,0.988469160251892,0.988243241341195,0.9883348641375065,0.00013689618241728878
0,150,20.69748477935791,0.19180571082401907,0.1635896682739258,0.0002509320557864605,True,balanced_subsample,12,sqrt,8,6,150,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 150}",0.8788095158208061,0.8882322672281682,0.8771998853739675,0.8727195026226935,0.8714528786504717,0.8776828099392215,0.00593700589104436,12,0.9640964809487415,0.9636684920329229,0.9651680141203502,0.9647454763565148,0.9646845853810044,0.9644726097679067,0.0005274571583448763
0,150,36.166384077072145,0.475552703077485,0.2120899200439453,0.0023297849783031955,False,balanced_subsample,17,sqrt,6,6,150,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 150}",0.8779763757164387,0.8861126823737555,0.8779213441148254,0.8730437572419979,0.8729320907186866,0.8775972500331408,0.004801236699712589,13,0.998358881660634,0.9982592581701685,0.9981768387627216,0.9984227646236828,0.9983117057181093,0.9983058897870632,8.405993781961868e-05
0,150,59.116042137145996,0.4967217219484216,0.21560173034667968,0.00044147791058433397,False,balanced_subsample,21,0.5,6,3,150,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 21, 'max_features': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 3, 'n_estimators': 150}",0.8746794259733908,0.881086393142373,0.8761486898992039,0.8666042660819078,0.8692394869037713,0.8735516524001294,0.005131271635366159,16,0.9995433050846666,0.9995783271023233,0.99951573728383,0.9995808983260384,0.9995845141787876,0.9995605563951292,2.68697898593848e-05
0,150,33.35656204223633,0.31188086235194123,0.1884603500366211,0.0005803749382877535,False,balanced_subsample,14,sqrt,10,7,150,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 7, 'n_estimators': 150}",0.8785347336290371,0.8879053338483199,0.8794743399658612,0.8743252638267651,0.8717543844329708,0.8783988111405907,0.005518902158225542,11,0.9870438542402443,0.9873496026968489,0.9874153558996704,0.9874355828595619,0.9871864207010753,0.9872861632794802,0.0001494682281568634
0,150,22.878710985183716,0.12214341574904092,0.19219083786010743,0.0009131112279862199,True,balanced_subsample,18,sqrt,10,4,150,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 150}",0.8810055905640569,0.8887681439304271,0.8789374665154932,0.876575484980252,0.8764572883440634,0.8803487948668585,0.004531894912169943,7,0.9823472186866815,0.9820055869107198,0.982358950965034,0.9823418172651875,0.9823351499579314,0.9822777447571109,0.0001363023197307616
0,150,51.81088829040527,0.41265517004271857,0.17025094032287597,0.007787598094580412,False,balanced,13,0.5,9,4,150,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 13, 'max_features': 0.5, 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 150}",0.8760055026287663,0.8851957987067194,0.8764532587433499,0.8718776242508814,0.8705564072785517,0.8760177183216538,0.005126271578080181,15,0.985920079402444,0.9861210797973983,0.9864469785074839,0.9867648830492918,0.98632895006606,0.9863163941645355,0.0002875987808382217
0,150,21.491859865188598,0.24444862618546193,0.18538827896118165,0.0010237235861683541,True,balanced,16,sqrt,9,8,150,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 150}",0.8807604943285477,0.8916623266592741,0.8803456847036543,0.8751955495196921,0.8755558272198473,0.8807039764862031,0.005950852280096637,6,0.9819648350367801,0.9822953638234029,0.9823169543110221,0.9823015503434929,0.9822438990178384,0.9822245205065073,0.00013214268760752604
0,150,57.542135334014894,0.1629044535619717,0.178330659866333,0.004249282238213969,False,balanced_subsample,18,0.5,2,11,150,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 18, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 150}",0.8710243114261371,0.8763254880950897,0.8721605138236503,0.8642607866834453,0.8648722685784072,0.869728673721346,0.004573684352871081,19,0.9998468751723414,0.9998495600379101,0.9998465135273872,0.9998894451718411,0.9998556731823317,0.9998576134183622,1.6250535310326518e-05
0,150,35.13918528556824,0.20322485282301755,0.17656879425048827,0.003336218762111638,True,balanced_subsample,14,0.5,4,8,150,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 14, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 150}",0.8785186433418204,0.886579534269446,0.8773902019660856,0.8707152290651748,0.8709431754534126,0.8768293568191879,0.005835475744257046,14,0.9896144320266911,0.9897092536580604,0.9902205687643473,0.9894259827205353,0.9897120270662985,0.9897364528471865,0.0002634332614104478
