TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
177,570,6731,593,0.23694779116465864,0.22987012987012986,0.23335530652603825,0.5758993164074659,WRI (p_informal),0.1,8071
148,480,6821,622,0.2356687898089172,0.19220779220779222,0.2117310443490701,0.563231686817497,WRI (p_informal),0.2,8071
129,429,6872,641,0.23118279569892472,0.16753246753246753,0.19427710843373494,0.5543866967165145,WRI (p_informal),0.3,8071
229,578,6723,541,0.28376703841387857,0.2974025974025974,0.29042485732403295,0.6091176800189264,WRI (m_informal),0.1,8071
106,359,6942,664,0.22795698924731184,0.13766233766233765,0.1716599190283401,0.5442454956357161,WRI (m_informal),0.2,8071
46,227,7074,724,0.1684981684981685,0.05974025974025974,0.08820709491850431,0.5143243142284369,WRI (m_informal),0.3,8071
