TP,FP,TN,FN,precision,recall,F1,balanced_acc,Rule / Comparison,τ (threshold),n (blocks)
61,236,137,20,0.2053872053872054,0.7530864197530864,0.32275132275132273,0.5601893224770794,WRI (p_informal),0.1,454
51,163,210,30,0.2383177570093458,0.6296296296296297,0.34576271186440677,0.5963161552973886,WRI (p_informal),0.2,454
36,130,243,45,0.21686746987951808,0.4444444444444444,0.291497975708502,0.5479594876377718,WRI (p_informal),0.3,454
72,257,116,9,0.2188449848024316,0.8888888888888888,0.35121951219512193,0.5999404229967232,WRI (m_informal),0.1,454
23,82,291,58,0.21904761904761905,0.2839506172839506,0.2473118279569892,0.5320557375963989,WRI (m_informal),0.2,454
3,6,367,78,0.3333333333333333,0.037037037037037035,0.06666666666666667,0.5104756230761592,WRI (m_informal),0.3,454
